admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Nong Muang Khai,TH5408,2014,1.064292496546786,1.0585650707318537,1.3069673057746647,1.6564749831574521,2.29522713565128,1.673220031461821,1.2921187203538,0.9755403588919062,1.3920417546671553
Mueang Nan,TH5501,2014,1.2796250342304178,1.382589097548336,2.082096319132252,1.730029181484269,,1.7795146092851275,1.4769966699656976,1.010500838107866,1.430057717484292
Mae Charim,TH5502,2014,1.643653249843113,1.4947044976569583,1.4062860301900155,1.7364300260619487,2.048884928622951,1.9486404379639812,1.6185697011165503,1.1543755654409058,1.5905346560000337
Ban Luang,TH5503,2014,1.451348423147562,1.6166200520151368,,1.643354940659853,1.984002367959486,1.8037674384718645,1.545661629758971,1.1185823534878614,1.5182420952516043
Na Noi,TH5504,2014,1.2075722447060926,1.4481115775237012,1.2191141843226772,2.0596346073300125,1.8771373213367684,1.6359328253716254,1.3509685502029378,1.0411417835471584,1.3340086097744415
Pua,TH5505,2014,1.4734723663431164,1.2508960528684183,1.197434127740645,1.4976027993475252,2.2882113680668263,1.7627141739385903,1.3837984412559523,1.1641651689445052,1.411984537273552
Tha Wang Pha,TH5506,2014,1.2537217689927234,1.237467883223005,1.3002158640767105,1.5317489350429274,1.95121367352526,1.690443423607595,1.4033466429420727,1.1541000573925313,1.3688935052046964
Wiang Sa,TH5507,2014,1.1832596606242625,1.167259458388341,1.0695323835075143,1.758362048883255,1.6801359935426536,1.71062559129697,1.4343231596472088,1.091764096867693,1.3640940128465127
Thung Chang,TH5508,2014,1.3663947841480522,1.4247808168812017,,1.676895002613303,1.7466330308753701,1.6791386690937622,1.413810498863944,1.2923558268251552,1.4813793516380007
Chiang Klang,TH5509,2014,1.3671361547488172,1.2946126414691044,1.1233971584925124,1.5484130830632323,2.374817914545969,1.6539373232624206,1.33649773770499,1.2702179882023719,1.4108566971142649
Na Muen,TH5510,2014,1.0474617710374805,1.3364416614648298,1.1393493163893162,,1.5661396154461906,1.8263516249368372,1.4615122366892046,0.9470511294861289,1.3143373124056041
Santi Suk,TH5511,2014,1.320647560095866,1.1181863455432506,1.3914288017999925,1.6931468634403881,2.4815200128352735,1.923016808252153,1.5118110416792803,1.112399120551618,1.4335480582697162
Bo Kluea,TH5512,2014,1.4126580990168753,1.2744151007172173,1.6489064447531132,1.4926774801385883,1.8257198844835067,1.6433057855854722,1.5274057145661297,1.3548330171243912,1.5064024169586805
Song Khwae,TH5513,2014,1.3051368205205602,1.1180200171644359,1.9006864684202909,1.719600087463905,4.698650946936756,1.819121925526787,1.6564687967817873,1.4560489588467918,1.5558940098128704
Phu Phiang,TH5514,2014,1.351005253432449,1.3933105193906228,1.1685743133658435,1.6083098115374275,2.142014187816501,1.8596378705979983,1.6251400245584187,1.0495598170920593,1.4812324290661383
Chaloem Phra Kiat,TH5515,2014,0.8845457159005214,1.0339935813222083,,1.6012478460962565,1.3711696936399203,1.3789639209948095,1.2984932213137954,1.1215347871867638,1.2000936211895876
Mueang Phangnga,TH8201,2014,2.241654456206067,2.0745778129249954,1.9537581744110522,-0.573815568451662,1.9649805176569508,1.5534482205076747,1.7244896204118054,1.679873377378767,1.3061468338048543
Ko Yao,TH8202,2014,1.6155518628883483,1.7126309862605025,1.6785979185162592,1.2799245985638192,1.6033429599903943,1.7914801765791843,1.4700311827541872,1.4973313198492597,1.5830673384964735
Kapong,TH8203,2014,2.032481612981008,2.110014105994083,1.9695980201619896,1.8049558971344786,1.8081360620658278,,1.807276993537888,1.7922293888269092,1.8607930727831143
Takua Thung,TH8204,2014,2.3797942588481624,1.6304771279429036,1.934563869391936,4.139024066463156,1.7072782713105183,,1.7801458492515294,1.4813222690525232,1.9354827309655949
Takua Pa,TH8205,2014,1.6659012245375098,1.8359924504663991,1.7047231066782658,1.3896644591704834,1.5099453150865227,,1.6319359881751538,1.6156567758642475,1.6379209219941313
Khura Buri,TH8206,2014,1.793399815170933,1.9842665622794404,2.0045270322635482,1.429578754075455,1.8624437108779919,,1.7338431944805366,1.776614058206632,1.8311392315418649
Thap Put,TH8207,2014,2.2603015023305963,2.0779133754654997,2.0321269132432827,1.6857229799649702,2.097981348872555,1.9990773098362082,1.7675561682010523,1.9772694933068733,1.8995418561307698
Thai Mueang,TH8208,2014,2.0950171158189894,1.189386396046851,1.996539537150129,1.0081133988248923,1.8540053917696724,,1.7493275094893457,1.6385222654800546,1.66207404782417
Mueang Ranong,TH8501,2014,1.3935084215370495,,,,1.3288143489122874,,1.4445780749865196,1.4299060236809633,1.3827187425072303
La-Un,TH8502,2014,1.9774514926814777,,,,1.5365427699954681,,1.6534654984938246,1.3771058444674658,1.642577329026664
Kapoe,TH8503,2014,1.4538196059070074,2.148306026080481,,,1.5438568877156604,,1.5655912912109868,1.7797725449691135,1.6755298129937743
Kra Buri,TH8504,2014,2.1102907447802512,2.1074501919584954,2.1585474538329894,,1.8926594218558166,2.000465110805946,1.7733390294772668,1.801814318882104,1.9395994129449963
Suk Samran,TH8505,2014,1.4884518663023625,1.367082711439007,1.7488078085367522,1.7387855598389477,1.3355632189486335,,1.5792965822993692,1.545618379666811,1.6223838162533082
Mueang Chumphon,TH8601,2014,1.7174904036872456,1.9084815454436146,1.9030941607144207,1.9280322777587509,1.8338043577221697,1.894313318045287,1.8002073718527374,1.866042404303807,1.831620966557827
Tha Sae,TH8602,2014,2.19191512928944,2.2395906410296647,2.019471624576003,2.328763564248275,1.9826718453142511,2.0989840201543295,1.9157543735653149,2.0097686871413503,2.051302622281084
Pathio,TH8603,2014,2.2848323941290998,2.285900285516208,2.0994557423586873,2.301358834935054,1.9503500831753333,2.0793848698027952,1.7997712912820736,1.9142208499947315,2.0509223554001785
Lang Suan,TH8604,2014,1.7490045960012708,2.0280230074038728,2.118486357870704,1.9844576438131545,2.0736352894596806,1.8996796113018772,1.8684533714092688,2.4173423183414298,2.038313383622742
Lamae,TH8605,2014,1.7959813079003564,2.1121333875893495,1.9849805635895903,2.192211361518073,2.19375319072096,2.0137211736946496,2.0667276837458965,2.2882426670377947,2.0679062343197896
Phato,TH8606,2014,2.0111840249713167,2.263591114076114,2.3375212932984977,2.1950072224445925,1.9684730440575746,2.1397310857478513,1.9560704945183867,2.134621799533824,2.0496014467013137
Sawi,TH8607,2014,2.0699692172190223,2.1806796135392967,2.103025112358365,2.0435384224074324,2.047650490653351,2.0137824580914905,2.0182353606840198,2.0442133367494084,2.056187668265114
Thung Tako,TH8608,2014,1.6679334171321452,2.088166205722406,1.7877928355722745,2.0706866030133075,2.0568229645326155,1.773460721194896,2.019526040070409,2.1504071296884395,1.989802806532873
Mueang Songkhla,TH9001,2014,1.3945724249344322,1.8106933979765178,2.2338324292638534,1.9492861815127998,1.9573991127137216,1.6897378376078318,1.7384731000268352,1.842818895598292,1.7546437653302855
