admin2Name,admin2Pcod,Year,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
Si Nakhon,TH6408,2013,0.37367191878677747,0.5132782017280385,0.49774838261465887,0.6654231772623354,0.6418063630865433,0.6250124638744119,0.6828662271285253,0.6206497592177487,0.22070837716702846,0.4144292899672833,0.3504083412750558,0.536986022332364,0.5907022057051254,0.5520612441902367,0.5851308941095528,0.5080858970676466,0.587213655408521,0.4751078085788087
Thung Saliam,TH6409,2013,0.5170338034983871,0.5944256934682469,0.407277984141321,0.5903452506183252,0.7075264609405685,0.775854325524403,0.7127248060104537,0.5419212652274757,0.3025639265266097,0.40793869655000303,0.23141271657800294,0.42687302534281557,0.5993545759067024,0.6265753014682354,0.5412044221899832,0.38652920684310793,0.6429684252285341,0.4770465377942765
Mueang Ratchaburi,TH7001,2013,0.6082220964485198,0.6219802945341548,0.5998271143559611,0.5807018763050712,0.6501224353052796,0.7019691375869826,0.7293223889891497,0.5369483867684802,0.4387665411143841,0.46235143887037217,0.44426488177826323,0.5229248084948797,0.5812316327487838,0.6161667471785889,0.6190568819507475,0.399439266064318,0.6360146027240429,0.5130985428104715
Chom Bueng,TH7002,2013,0.49584252624659897,0.5881328588587516,0.6286083534967001,0.6234037720974037,0.6623748694958419,0.7016557581711549,0.7209786974639973,0.5910733618837553,0.24691605788697363,0.374698183797569,0.4395699805565345,0.4630221216113618,0.533336957947791,0.5673458553639122,0.5593254810313552,0.429491780126669,0.63092013167787,0.4563979906413125
Suan Phueng,TH7003,2013,0.5317326489847785,,0.6939677949798201,0.647096466289612,0.6653025169123329,0.7040470126793842,0.7300605006212575,0.636505517232896,0.30491347523829865,,0.5091865388054755,0.5119155816389669,0.5325063927285055,0.5575773340863303,0.5527539696271636,0.4481283246071754,0.6574879033383413,0.47847680193187725
Damnoen Saduak,TH7004,2013,0.5990303624456104,0.610503367237168,0.6423792743201592,0.6845798737735505,0.6692391631180122,0.6996949122746011,0.6334292693261747,0.6414739480560696,0.49283711088732035,0.5022264609011498,0.5451671862381657,0.5770682737281145,0.5855969802579557,0.5893255985985749,0.5848662082847768,0.5517089237937428,0.6577083586339159,0.5575783194994852
Ban Pong,TH7005,2013,0.6260654075894626,,0.5505202116845511,0.5304480671536933,0.7158736591361461,0.775172069185437,0.7498781110938515,0.5713829034957665,0.47309605484192185,,0.4052787282146641,0.5087741847862379,0.6146585076094965,0.6570332817599016,0.6385496130528648,0.4397645649219643,0.6562276595596371,0.5357076678493325
Bang Phae,TH7006,2013,0.46773159308490364,0.5242594713134305,0.6578173386784613,0.5990119532577414,0.6009907128701747,0.5942046593634727,0.6092805455520769,0.5752754749256567,0.4236334636316885,0.46459345787810413,0.5553284294971828,0.5303742768297469,0.5610423799248793,0.5725694764276232,0.5643810966517185,0.52285011572933,0.5678789880428023,0.52310367392015
Photharam,TH7007,2013,0.5874583404243946,0.5774413519891697,0.5933811111343313,0.5478230948640651,0.7005806747384563,0.7415075753403023,0.7525222388223132,0.5708069052897546,0.3995642492188243,0.4016251486996939,0.4263280910101539,0.5219529154197372,0.597218995789219,0.6404422154599468,0.6395730138807048,0.4443820731430942,0.6524698347889428,0.5228829556873024
Pak Tho,TH7008,2013,0.6410071766828097,0.6640567200674349,0.6092243399572482,0.572867994397996,0.6913152918946532,0.7505454999217323,0.7675442227494479,0.5416134523021238,0.45364146439863867,0.4990211137568431,0.4306186408811955,0.5050698083340915,0.5876086902927578,0.6162237605029602,0.6232336990343932,0.36754595812287777,0.6615312135140454,0.5155433396977995
Wat Phleng,TH7009,2013,0.7451500142230285,0.6893489028965134,0.5547700558361274,0.5385718031943758,0.6672502418950852,0.805451019104492,0.7873244463805525,0.3940050855581999,0.6368892199904077,0.5646482667124899,0.43938759218575546,0.5712178123308707,0.6042211504976494,0.6854276010837096,0.7000975416304458,0.20976194406805784,0.6565192392694681,0.5745277093141498
