admin2Name,admin2Pcod,Year,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
Tha Mai,TH2203,2015,0.7463529508117009,0.6946322632394557,0.7709114338651339,0.7279059258119056,0.4208482564972733,0.737987318436269,0.7877345563031198,0.7665025590642437,0.5815349211781996,0.5708662921600329,0.6392340475418204,0.6029344476351403,0.6626046393174138,0.6108117413433498,0.6152961105376515,0.5854563953134673,0.729169954333082,0.6047661981783874
Pong Nam Ron,TH2204,2015,0.6509601165717509,0.6168705919525475,0.7174486980212915,0.6886213741692383,0.2505251769905203,0.7223804288784174,0.7543021690534206,0.7336015750343241,0.4255487266267374,0.4278954111885317,0.5766135211199341,0.5113400572837619,0.6122410120619054,0.5565114291702321,0.5809485217630158,0.533194170927181,0.6337385852908948,0.5228833631342992
Makham,TH2205,2015,0.7635843497560151,0.7066109663227296,0.7358151656068321,0.705464741168619,0.033110065534305476,0.7060652304492513,0.7810732898973537,0.7610299084762682,0.6131833111708528,0.5728538607312003,0.663988016506945,0.6036003415408981,0.694743373610134,0.5969085250635668,0.6123806753515366,0.5754629456895086,0.6693324765341933,0.6171759125061707
Laem Sing,TH2206,2015,0.5617001303960476,0.556252114562258,0.6040365448806277,,0.34961690252018585,0.7216200382711893,0.7378056290734557,0.6621232895662679,0.4660324367783768,0.489621899230198,0.6556072283681982,,0.5154596353400703,0.6560774803004317,0.6583403189931509,0.5606327582815288,0.6040778612929659,0.5666722246494642
Soi Dao,TH2207,2015,0.6466682792513114,0.5913027598986546,0.6951187600390457,0.6919102471470506,0.5161284979767946,0.6763312651487599,0.7216966033569214,0.6870222808611197,0.4341833806358078,0.429565839896708,0.5375398167211084,0.5236924667318358,0.5514027779770212,0.5179656660319618,0.5309706009817006,0.4697946881031217,0.655491836348642,0.4928113633595284
Kaeng Hang Maeo,TH2208,2015,0.7875919806022167,0.6833175690100868,0.8069157411370542,0.7778645044424737,0.2018940540773611,0.7640668506947951,0.8125743663919984,0.7904020089286481,0.5954759761344569,0.5389372284284025,0.6145735060340686,0.6105700722319323,0.6280628789262719,0.5811261803136558,0.6032012354784743,0.5695609685814588,0.7000040365014008,0.5941441753676798
Na Yai Am,TH2209,2015,0.711353352719391,0.6978329889187843,0.7533232961973965,0.7348796467721393,0.48009337456355194,0.7317544336379085,0.7903304861625214,0.7647797761733901,0.5288161026047757,0.564472512809637,0.6289143531841848,0.6138907361348079,0.5939647779462651,0.5930575944338574,0.6110412146124552,0.5743503091325955,0.7155169627617417,0.5874529933069859
Khao Khitchakut,TH2210,2015,0.7867458388316885,0.7348211136716216,0.7881257500467641,0.770052007667354,0.19411578051528416,0.7436128783028166,0.7932148621632219,0.7875702555455352,0.6154734230507435,0.5779023542314576,0.6224095565734171,0.6186524448249797,0.6382959540595156,0.589068354430956,0.6150511753447209,0.5976542354282787,0.7065776044584763,0.6098341016249798
Mueang Surin,TH3201,2015,0.3202284709518016,0.3031149904300866,0.32721687052986403,0.6907119589401807,0.7390108634192739,0.7722737569634379,0.48555255402371406,0.4187131134819389,0.10992222832740949,0.1885586345098344,0.06616059404043485,0.5793528343286497,0.6246549672890735,0.6198317738405802,0.3462696942043064,0.21228228014585854,0.535175817164571,0.3642161048610469
Chumphon Buri,TH3202,2015,0.2825151258212815,0.2410777634318817,0.37804016619488795,0.7005124362595896,0.767875329254463,0.7752843882105055,0.4570018838967496,0.4059514834710338,0.038144926715669464,0.036798806307340615,0.13518207783590122,0.5561024828120984,0.6282411619818787,0.6339766799103207,0.3535324535446718,0.20053341923531381,0.5159345058175199,0.33846611413833333
