admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Thung Tako,TH8608,2020,125.39233103779628,184.80166067565173,137.1988270292225,167.73063826987567,184.66358526136955,350.2425884034477,230.36125638518132,291.7234824902969,1672.1143695528417
Mueang Songkhla,TH9001,2020,128.85959661006927,272.0404496192932,172.2375124692917,207.0287036895752,210.62812614440918,256.92248368263245,436.9519248008728,735.3045015335083,2419.973298549652
Sathing Phra,TH9002,2020,113.42617259984432,153.60895733146563,126.6764477070259,155.75923925249472,173.4621620079624,321.43064376711845,442.7617699944455,687.4287287255992,2174.5541213859565
Chana,TH9003,2020,172.8126380443573,275.405636548996,216.30224215984344,254.02093410491943,246.90496381123862,282.9184406598409,342.5919313430786,586.8944241205851,2377.8512107928595
Na Thawi,TH9004,2020,,,,,,,,,
Thepha,TH9005,2020,114.24552972700799,231.2145455032243,198.29610326631516,245.21879869961023,196.91905509737293,229.63277305934503,344.6034119767901,630.7456742103876,2190.875891540053
Saba Yoi,TH9006,2020,,,,,,,,,
Ranot,TH9007,2020,108.65648279546299,145.16856509833374,113.95151254706403,155.20872998913597,186.24310429206056,322.7565797537324,426.46787882339413,752.8970368232523,2211.349890122436
Krasae Sin,TH9008,2020,118.61907124519347,156.94776887893678,129.06399295330047,158.66580705642698,178.0471501197666,332.0814765930176,418.2259515047074,663.7048767089844,2155.3560950603337
Rattaphum,TH9009,2020,160.86813360944132,318.2042821229551,205.35380318687677,189.28155054230444,192.05202440206423,261.74468827247625,343.16081375490154,579.6099623282752,2250.2752582192948
Sadao,TH9010,2020,214.46882498264313,343.7178530693054,364.9690613746643,286.26119089126587,383.7773222923279,289.20137763023376,290.5357494354248,350.395339012146,2523.326718688011
Hat Yai,TH9011,2020,128.85959661006927,272.0404496192932,172.2375124692917,207.0287036895752,210.62812614440918,256.92248368263245,436.9519248008728,735.3045015335083,2419.973298549652
Na Mom,TH9012,2020,,,,,,,,,
Khuan Niang,TH9013,2020,138.05688193435654,294.37369062448954,192.95483433702785,177.75050794312887,183.41883564655504,249.83356736397093,431.828176225552,639.7740398876931,2307.9905339627744
Bang Klam,TH9014,2020,,,,,,,,,
Singhanakhon,TH9015,2020,100.25268566608429,264.14266562461853,164.49971961975098,157.93999481201172,170.94218450784683,235.27418041229248,431.1146960258484,616.9156904220581,2141.0818170905113
Khlong Hoi Khong,TH9016,2020,,,,,,,,,
Mueang Rayong,TH2101,2020,122.16357255259226,238.31096576951268,188.79489248297932,141.63585989281188,346.5643096690954,366.19220798653225,96.00225449994551,7.947603963142217,1507.6116668166114
Ban Chang,TH2102,2020,120.04279972173833,231.6764163642801,161.75799987290495,128.70929198880347,318.9797231858776,355.28760534153184,95.2038051515497,7.499397303981165,1419.157038930667
Klaeng,TH2103,2020,195.6117372811883,356.306255271489,348.78061821369033,292.49151878246494,510.63058887203266,439.721873722697,150.9408178231516,9.323833464508084,2303.807243431222
Wang Chan,TH2104,2020,157.18795729138688,306.99039940504014,258.995300552441,262.44426780839524,466.4104492982987,438.59723176449756,130.84744228440425,10.221590730626145,2031.69463913509
Ban Khai,TH2105,2020,132.89055802104969,268.9119013530598,228.54355679338397,210.75614611265843,418.4890275614872,392.1325047865392,109.23345005480785,7.926095809345195,1768.8832404923314
