system:index,admin2Name,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7
000000000000000000e5,Ranot,1649.0794500902584,1245.2507013963718,875.6886227448784,1686.6018746890272,1577.2791841301266,3524.203690347485,8237.745509861965,8249.712988883372
000000000000000000e6,Krasae Sin,1494.3035812864118,829.0803620195856,659.1637873897366,1237.5512826536217,1194.824776296522,2688.3489128655074,5539.275738631978,6117.919351264541
000000000000000000e7,Rattaphum,5212.94566988197,3620.493804894242,2465.443749111306,4454.870961595049,3505.915982546526,6407.066392615263,6632.376745158549,12031.12265592276
000000000000000000e8,Sadao,9560.661007089242,5210.6265907699,3936.525481672849,8041.06485934912,10787.94737701603,11829.364847323475,9100.57978556577,16314.860698275477
000000000000000000e9,Hat Yai,6228.1236524825,3420.8340262333545,2677.7064247294966,4938.0339396990985,4951.74912053931,7292.028756661508,9000.980501403059,15516.56152714187
000000000000000000ea,Na Mom,1200.9882165104734,605.9774537409053,470.2355481143091,934.2075813863792,980.211893936232,1340.9039840062458,1851.0402835378459,2879.8018133537444
000000000000000000eb,Khuan Niang,1424.5178742277856,924.8413738484477,671.0703786190818,1198.5854113293626,983.8202825237722,1641.0501724374062,3393.322005127925,5117.046676041099
000000000000000000ec,Bang Klam,919.6575455132654,555.3299686927421,436.1591148152071,799.9291926318525,696.4340612224504,1083.0119980634427,1720.181233843635,2997.4998559016803
000000000000000000ed,Singhanakhon,1129.8784266499913,812.9551896946102,565.1007541871537,1065.3839778890795,931.2053705795139,1629.9684587936774,3771.2440767213416,5076.972083536783
000000000000000000ee,Khlong Hoi Khong,2615.4394715963626,1177.8528877716442,1068.9598445794163,1884.9982666959952,2163.1073260344706,2860.8200373883346,2430.4846474928013,5043.76405135884
000000000000000001b9,Mueang Rayong,1877.622046465032,3972.021221770025,2221.900497882974,3430.6639167631383,5096.169453106673,5765.26018687697,3174.641874811696,1017.497476054757
000000000000000001ba,Ban Chang,504.06613322099054,623.4641068566079,311.0787241150351,649.6335308201172,840.5373572975982,1590.3958230495455,794.8418043650834,346.6265221820158
000000000000000001bb,Klaeng,2354.911225241773,7298.281984093612,4503.829365092634,6657.336038999931,9180.818437482798,7283.530319382163,3373.2691856071065,1142.6143818775813
000000000000000001bc,Wang Chan,1313.4565154005497,2884.1082752442826,1802.2121624558579,2792.1707292977494,3611.9722398066056,3912.0995482968347,1534.9620251674278,529.196618308273
000000000000000001bd,Ban Khai,1451.8509002881892,2968.1521636027915,1744.8388489999022,2877.978353290464,3782.485457691492,4572.634690956041,2218.989082609439,743.1507940773872
000000000000000001be,Pluak Daeng,1910.1534307872541,3121.756757451973,1746.5061134506673,3548.5173277275235,3882.1824059402243,5554.554989594104,2130.329751448538,881.9643817228432
000000000000000001bf,Khao Chamao,1675.3143370039322,4257.546996122249,3101.528540061503,3872.0408418781617,5713.185857214646,4567.6502342813155,2035.4479619143053,683.5218117690554
