system:index,admin2Name,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
000000000000000001ef,Khok Sung,0.25041633675824027,0.28564037446763485,0.35622924790490595,0.4023120115612398,0.459153308980871,0.4918428542868301,0.46481871231959093,0.3424286868274749,0.3920112620936615
000000000000000001f0,Wang Sombun,0.30811806593449004,0.3351551456799983,0.5045487280795485,0.497561657158589,0.5829843777120437,0.5877661635995282,0.5175253727079859,0.4226540062007316,0.4715671553473232
00000000000000000271,Mueang Chaiyaphum,0.2776828187789305,0.28701742171892963,0.26793212016217455,,0.43634347419247965,0.4717925823105638,0.43613423853019045,0.3211667409437375,0.36073231312952175
00000000000000000272,Ban Khwao,0.32470643194896437,0.35196768918866606,0.2818943353353485,,0.44419309623208947,0.47518256389950503,0.4416924799561819,0.328169459684597,0.3802330397996524
00000000000000000273,Khon Sawan,0.28250571506775884,0.2882954746361349,0.3002140606791414,,0.4554148069342036,0.469458038143411,0.4242934271999733,0.30845713010102915,0.3603369110991729
00000000000000000274,Kaset Sombun,0.35444925553795215,0.3390723406408566,0.4060621578787914,,0.542155299324537,0.551845448615794,0.492488170364908,0.3353285217225861,0.4300637365531879
00000000000000000275,Nong Bua Daeng,0.2972114563778984,0.35512087507100165,0.35850613745019766,,0.49338836184265117,0.5107958558159743,0.45831377501191606,0.3258733559812611,0.4045667001394673
00000000000000000276,Chatturat,0.31739102521764506,0.30437987843981285,0.2719299174383833,,0.500395481728536,0.4966005111903691,0.42495495987825876,0.3023145239220667,0.3748685328928649
00000000000000000277,Bamnet Narong,0.3077216267933332,0.28163789037291925,0.28567947937832944,,0.5002061593705761,0.49695900276681243,0.455605421640724,0.3148470224297445,0.3881701424083825
00000000000000000278,Nong Bua Rawe,0.33243776471076286,0.36763029591543883,0.2982961020366502,,0.5064521474876346,0.5154007477937875,0.4458856419495319,0.3375613577471396,0.4144198635040308
