system:index,admin2Name,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7
000000000000000001fa,Non Sung,33.96109084441884,33.68489363640966,32.31820189318406,31.96652284509998,32.367967672909025,33.25564618791855,32.38526809222226,31.50332814177488,25.32385980942672,26.117770642192443,25.597729667428517,25.13732617375566,24.795673124596536,24.52934152726034,22.3384299184762,20.9420651445752,28.74244373225367,29.08823024632218,28.32053935160492,27.877212473124036,27.937034414595935,28.24371469962499,26.916987887684392,26.074689123480873
000000000000000001fb,Kham Sakaesaeng,33.811373614449806,33.44715645727611,31.90124198717951,31.715842161694844,32.315041549117495,33.24355316596835,32.32548506429734,31.44611438350382,25.201657886994216,25.950989908506408,25.409673646236776,24.937238992109624,24.711876980599534,24.55602751729158,22.33529776114007,20.852573089062616,28.658939946275176,28.90007180760052,28.07054846782632,27.662759303774948,27.856411273662882,28.248708793444536,26.86120919339,26.021617833018148
000000000000000001fc,Bua Yai,33.83338884020611,33.478295220269125,31.936651944357283,31.794007140871106,32.4631285410079,33.57086673918227,32.4394366915264,31.55059589845462,25.24364597986617,25.978710998050776,25.48842499748112,24.998236392793224,24.82545500255769,24.588131538270037,22.221539022052124,20.781219149036595,28.717375606960747,29.005102666219102,28.181033173818467,27.75197135683093,28.007153986370778,28.43404935806519,26.876323167104594,26.01941414627377
000000000000000001fd,Prathai,33.98430998013606,33.769744979830314,32.29910676229068,32.08959370818587,32.62048387053265,33.529015759209926,32.460266231305056,31.63505168489564,25.338511244631626,26.15247812288684,25.640682938437017,25.15819418891361,24.950684818949295,24.514608219490988,22.183905956626617,20.755286945768272,28.810495967408375,29.203355938821886,28.41233114730809,27.97922690375736,28.124969510522796,28.412671983132288,26.902830907214,26.039591014466605
000000000000000001fe,Pak Thong Chai,32.55777096318266,32.236295438280315,31.245498106713416,31.08783761117975,31.38349475636204,32.00561943502989,32.47099530089138,31.11917744408844,24.518680778952234,25.418734932693802,25.209541619992752,24.788648023418375,24.214629654229878,23.836522333481756,22.22467302509385,21.008226279816437,27.620486913942848,28.050498705097304,27.554574926039773,27.199338133568883,27.132958185532537,27.280941718606414,26.94267108094461,25.86159423247343
000000000000000001ff,Phimai,34.163304457938914,33.93141580554745,32.577096590752475,32.10639463211377,32.505544908090755,33.37927726886433,32.576824440888835,31.671805077965967,25.42181689400111,26.22666504370146,25.70511798672259,25.23680176377687,24.91778403747097,24.537613054207192,22.356109658902962,20.94350841468862,28.8647228692435,29.2493292693595,28.50994912477842,28.009872373566463,28.049857707235915,28.32861373851667,27.02910254993089,26.148490449372208
00000000000000000200,Huai Thalaeng,34.04192823472916,33.84998753586097,32.58641523424088,32.00204833872591,32.39272707425633,33.21285918518739,32.60250885792269,31.58505143681573,25.360644665393224,26.16096790579215,25.663733877105173,25.195928172576146,24.862537928989973,24.487112398811334,22.373418664058946,20.953448563263223,28.7478450509655,29.156157133780138,28.481052066118313,27.916471298273688,27.942704856788744,28.204250025487227,27.06216914138517,26.08749920500429
00000000000000000201,Chum Phuang,34.147844121485605,34.00756687588164,32.71193063994987,32.108480123826034,32.56350523395305,33.39908810839243,32.65102443459595,31.704656539451598,25.416197491869536,26.253503017661036,25.740429174164216,25.24269214677224,24.96318342420792,24.532009383778533,22.359955870075012,20.909622733421592,28.864075653641326,29.292348244749487,28.59097150637782,28.022699492654706,28.0829574349486,28.344912861011665,27.078610582704915,26.129337336554787
00000000000000000202,Sung Noen,32.81996115482217,32.512665631072714,31.34553169867007,31.055944053572865,31.512821170537176,32.0895639169096,31.618651958427066,30.693737270742837,24.687704409975016,25.60910856844201,25.20364991390346,24.75578728107493,24.297418833260608,24.025977179016753,22.121263746781803,20.90389626650889,27.866610856489725,28.285136802750426,27.61486985177707,27.256847042507616,27.261088311551816,27.376574834187846,26.461911326707035,25.646249450846813
00000000000000000203,Kham Thale So,33.145150188371275,32.833589202282496,31.5536622290518,31.25720454197306,31.756392684637355,32.38019732306987,31.626767865349287,30.789965719995227,24.852618946748642,25.732453110638808,25.221523479386896,24.766112114401448,24.392874893487694,24.20466081207876,22.166731591318193,20.848553424558038,28.140080261230494,28.502741675283414,27.730139100317885,27.377623075597448,27.431965008903976,27.61359255921609,26.48836014691523,25.699721439981975
