system:index,admin2Name,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7
000000000000000002cf,Pha Khao,72.18487041793136,142.72785430772828,82.83712351155734,120.08442680364234,119.02682699042732,100.11905206630867,70.76303992528602,55.460705113238404,168.52178379640443,144.74261031986933,145.33135652579966,120.08442680364234,119.02682699042732,100.11905206630867,108.93962176044832,105.87828624795709
000000000000000002d0,Erawan,79.65301169590646,139.61730994152046,83.27444444444447,117.33102339181289,117.50517543859652,99.91409356725148,69.71491228070177,54.5892105263158,169.08216374269008,144.0029824561404,144.7098830409357,117.33102339181289,117.50517543859652,99.91409356725148,107.99459064327488,103.93701754385967
000000000000000002d1,Nong Hin,75.1692272932671,143.15494803434257,99.06678716674202,118.40013556258474,117.26457297785811,99.79728874830549,70.51391775869861,54.94256665160416,168.32245820153645,143.15494803434257,142.7829643018527,118.40013556258474,117.26457297785811,99.79728874830549,109.1244916403073,103.86597379123367
000000000000000000ef,Mueang Satun,122.46176084099869,108.59842312746387,117.2664914586071,123.66754270696454,105.29684625492773,104.99894875164259,100.80210249671484,104.46806833114323,122.46176084099869,108.59842312746387,117.2664914586071,124.10105124835742,105.29684625492773,104.99894875164259,100.80210249671484,104.46806833114323
000000000000000000f0,Khuan Don,124.30555555555557,109.33888888888889,117.78888888888889,124.31111111111109,106.43333333333334,105.17222222222223,101.09444444444445,104.94444444444446,124.30555555555557,109.33888888888889,117.78888888888889,124.4,106.43333333333334,105.17222222222223,101.09444444444445,104.94444444444446
000000000000000000f1,Khuan Kalong,125.0601986249045,109.57990832696719,119.02994652406417,125.59029793735677,107.21428571428572,105.19488158899925,101.80473644003057,106.49258976317802,125.0601986249045,109.57990832696719,119.02994652406417,125.59029793735677,107.21428571428572,105.19488158899925,101.80473644003057,106.49258976317802
000000000000000000f2,Tha Phae,124.26040868454663,109.46181353767561,119.60957854406129,125.21098339719029,106.57343550446998,105.55977011494252,101.93588761174968,105.90268199233718,124.26040868454663,109.46181353767561,119.60957854406129,125.21098339719029,106.57343550446998,105.55977011494252,101.93588761174968,105.90268199233718
000000000000000000f3,La-Ngu,124.97569444444444,110.15289351851852,119.0457175925926,124.0726851851852,108.0396990740741,106.07372685185184,103.4957175925926,108.83796296296298,124.97569444444444,110.15289351851852,119.0457175925926,128.41747685185186,108.0396990740741,106.07372685185184,103.4957175925926,108.83796296296298
000000000000000000f4,Thung Wa,,,,,,,,,,,,,,,,
000000000000000000f5,Manang,125.76994219653179,109.53916184971095,118.93872832369941,127.84248554913295,108.77485549132948,105.38973988439307,102.93265895953758,107.1806358381503,125.76994219653179,109.53916184971095,118.93872832369941,127.84248554913295,108.77485549132948,105.38973988439307,102.93265895953758,107.1806358381503
000000000000000000f6,Mueang Trang,129.42759856630826,112.0109916367981,119.20740740740742,128.62234169653524,112.04767025089605,103.763082437276,105.63237753882918,108.72270011947433,129.42759856630826,112.0109916367981,119.20740740740742,128.70167264038233,112.04767025089605,103.763082437276,105.63237753882918,108.72270011947433
