system:index,admin2Name,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
00000000000000000290,Mueang Nong Bua Lam Phu,1.2047903172616348,1.338152867205203,1.3152259950154452,1.4904777094137152,1.6029994311470794,1.6077865473575998,1.4182968535771456,1.071683069103088,1.3765878842228274
00000000000000000291,Na Klang,1.1841205301954298,1.3321627150847029,1.5035088459793136,1.6545814054602048,1.7756774049232973,1.7376989276228045,1.4987475111544672,1.1083544717786737,1.4729578055451946
00000000000000000292,Non Sang,1.1057948587352595,1.175410645864975,1.1770552993321952,1.388101249670556,1.4840420710292594,1.6004103425198204,1.4227853539643895,0.9774566390712155,1.2777631996931247
00000000000000000293,Si Bun Rueang,1.2530953738373956,1.4332232303347272,1.5290095766669447,1.632887861264673,1.7175804635240244,1.749776273315646,1.5417763172734509,1.112438299507773,1.493444456822053
00000000000000000294,Suwannakhuha,1.1891012367582545,1.3821583296824225,1.5563663809114443,1.6884652261467008,1.8263279562261276,1.7985918031511587,1.5780755308973644,1.180221657365767,1.5131375007925503
00000000000000000295,Na Wang,1.310028185062208,1.508528452407585,1.6662659170078211,1.7451717619663782,1.9177612438890552,1.9049550818417276,1.6534553877506855,1.2144316335542873,1.6165714439513152
000000000000000000bf,Mueang Surat Thani,2.0822806059743453,1.286647323187056E9,1.9437365486684828,,2.05202516213169,1.990203849237538,2.2447071219055053,1.756870684583335,2.4624921791418856E8
000000000000000000c0,Kanchanadit,2.0367976778546497,2.0329372118371287,1.9785599741950672,,1.9920200289550243,2.0299179096608313,,1.7440535912559296,1.9656811470460567
000000000000000000c1,Don Sak,0.8637774880192821,1.9413390859946633,1.7933074154043354,,1.7990714219260495,1.8454272110772734,,2.187133150036696,1.9236932115345162
000000000000000000c2,Ko Samui,1.550235815712001,1.9869049239351344,1.688216836148533,1.0290749757227944,1.7886697705359478,1.5973748646389603,1.954762334667679,1.812605257869167,1.8326398522242628
000000000000000000c3,Ko Pha-Ngan,1.690365938921734,1.692274372901614,1.6350497991597062,1.5991011262782322,1.728955762524808,1.9671359696676898,,1.739175794120406,1.725841548854282
000000000000000000c4,Chaiya,1.902969667207254,2.3168043820235424,1.996917044024645,2.0096830477891388,2.0365027283982298,2.0810632553355566,1.9816385834411805,2.2786661370701746,2.112571356141206
000000000000000000c5,Tha Chana,2.0396788704447624,2.0522797630770193,2.0853809369084915,1.9564577915065438,2.0485526111230916,2.005533602381037,1.8711845482959275,1.900154177260509,2.004239857709478
000000000000000000c6,Khiri Rat Nikhom,2.2677891060592907,2.123231425019272,2.266397352302163,2.005552028827669,2.2712486180580265,2.0820890110777466,1.9150832078139068,2.0351290486122036,2.1628478442633225
000000000000000000c7,Ban Ta Khun,2.3617678626435534,2.1181627690003406,2.30545176552296,1.8716915918028043,2.3231713538476084,2.148921570444677,1.7766030154445116,1.9223067382493417,2.151552313940992
000000000000000000c8,Phanom,2.2993445615141828,2.293404412746752,2.192970022834614,1.8835639098578272,2.2749292880134866,2.1339519882341955,1.9250186563697897,1.995950424418821,2.1456207208240805
000000000000000000c9,Tha Chang,2.0550654428150885,1.9680502353911655,2.0647187130663465,2.040887060912973,2.1111357041786385,2.42333021256779,2.0434273620548997,2.076936387907616,2.1113205603521985
000000000000000000ca,Ban Na San,2.0582743744367638,2.709841751005392,2.084030029701302,,2.0907046557385724,1.9927728272713658,1.961610904348635,1.8154806463015554,2.1476904838294315
000000000000000000cb,Ban Na Doem,2.0496743730400717,3.0423666279489594,2.0797118939924304,,1.9849847726628802,1.942903795276882,1.524624625790277,1.6929318722878999,2.155623438611533
000000000000000000cc,Khian Sa,2.2002725102177245,2.1280098140803814,2.1514466850730267,,2.238058683050577,2.0796768120406077,2.0355179276058375,1.989851718424839,2.125254304002973
000000000000000000cd,Wiang Sa,2.095601212993889,2.0955891217567735,1.9968577019866145,2.0090630081390097,2.1366425082975558,1.9605244883672148,1.8736602516342242,1.900319900602301,2.032079493517929
000000000000000000ce,Phrasaeng,2.163850565503433,3.769086007048776E8,2.0599500708033074,2.087134965225292,2.163303385269057,2.024448741169138,1.8268230275398807,2.026124141399433,6.265399370686311E7
