system:index,admin2Name,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
000000000000000001c3,Tha Mai,2.8680918047302493,4.429957684230831,5.129395021563993,4.834850431789353,4.378443933488622,4.6280046712361536,5.683609532862051,5.070411094082324,4.748043948858444
000000000000000001c4,Pong Nam Ron,4.476205803447069,4.467732054943094,4.889456417188134,5.334921906176283,5.253381457061263,5.455688666966196,5.682165608948489,5.3752181379548825,5.130637923019666
000000000000000001c5,Makham,3.7460041276497176,4.358262973935216,5.443504979273289,4.93136826718518,5.09840758229299,4.270021231717657,5.756485551204063,5.464061849339118,4.936948000342664
000000000000000001c6,Laem Sing,3.0956697058668663,3.386368094154159,4.066549915471599,4.465909699367007,4.844972071870328,4.657264820434105,5.275114129547283,4.485119430164541,4.351838245781171
000000000000000001c7,Soi Dao,4.125383124401512,4.131431547132298,4.950341399930173,5.1702687357928285,5.025119599978178,4.574613415781005,5.491788010295096,5.274239781678957,4.854996238535069
000000000000000001c8,Kaeng Hang Maeo,3.788016177340803,4.06258886442751,5.020964772904268,4.8539482571502965,4.834848846791457,4.325949788248263,5.452473398795774,4.740353855018787,4.646207972497482
000000000000000001c9,Na Yai Am,3.716611232717378,4.4713941352329885,4.943781568294837,5.340396817139167,4.636591435117731,4.711697119889452,5.514903551944938,4.742213612106257,4.782870871902041
000000000000000001ca,Khao Khitchakut,3.2364666218205893,3.9877183040109614,5.073306953457449,5.020557917604668,4.837778600546556,4.486060611000491,6.281054494681936,5.683620386417005,4.875541324943376
00000000000000000228,Mueang Surin,1.446760591470157,2.619563437590502,2.9509799508981636,2.8517697266900166,3.641008227781033,,2.836026242621136,2.2741693806671495,2.6873651148260556
00000000000000000229,Chumphon Buri,1.0702983662076213,2.1091112732168082,3.4622158229573534,3.430038934174521,3.8041650615305387,3.4549430162287895,2.463658116260145,2.0775789727027507,2.6744469189087945
0000000000000000022a,Tha Tum,1.3285535620873068,2.3800593299192037,3.3971691847435146,3.082201199785189,4.318140806499904,3.4873566544042314,2.621957482333348,2.2868276007462858,2.7788995920802613
0000000000000000022b,Chom Phra,1.3940458863117915,2.469684443765683,2.9548585869054844,2.9905417739832605,3.816874921422493,3.9613735444088656,3.121910998523638,2.519199458774391,2.7660072943281047
0000000000000000022c,Prasat,1.9019234450870126,2.128897186354679,2.9022561792670647,3.2030723240915284,3.9068605971253065,2.720448519555721,3.0908590599494534,2.390825801539716,2.7849901373093795
0000000000000000022d,Kap Choeng,2.3265596653564127,2.453040138528875,3.0819500167214797,3.726321666373899,4.435471915855182,,3.219493899905041,2.6017236412564704,3.1228394410699534
0000000000000000022e,Rattanaburi,1.5930017912934824,2.424627339395533,3.358203141276824,2.5536110358559805,4.249440500761856,3.6719213830366204,2.4708061534415773,2.0641333477066515,2.6805747675869482
0000000000000000022f,Sanom,1.4146875616843693,2.5582341835395987,3.091569970125845,2.785231424512938,4.266142802274262,3.8638524812163775,2.9725906962173205,2.453346761106645,2.797846993778496
00000000000000000230,Sikhoraphum,1.325757365569826,2.663512080276182,2.8763078458351776,2.955254708225155,3.514032491197091,3.832052681255831,2.7620457045503484,2.1658929767641917,2.635889152568115
00000000000000000231,Sangkha,2.1295643376855904,2.5730289701230786,3.2399401925649496,3.7182049932666854,4.408147308445675,,3.212354961733842,2.705489068436612,3.146831559113962
00000000000000000232,Lamduan,1.3242458420878283,2.1550457341912272,3.1045483992835488,3.3222431741816805,3.577566451579338,,2.6595824905309913,2.1728663230073972,2.6187819938699546
00000000000000000233,Samrong Thap,1.335510491041263,2.0908321258991536,2.9268386186091453,2.9567668229687936,3.9088681114741113,3.8602357163263536,2.4637333215266577,2.027736203063411,2.561225234780851
00000000000000000234,Buachet,2.3938509276232893,2.734431503193925,3.6546083160814518,4.156483492669786,5.018752725269253,,3.72182174757115,3.30593443500046,3.574977115462157
00000000000000000235,Phanom Dong Rak,2.595941476821164,3.006720468326911,3.804750954244582,3.952962622177301,4.62513367592198,1.1477115220089036,3.3910791136908576,3.042163730236127,3.4810262363042774
