system:index,admin2Name,WS,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7
00000000000000000315,Wanon Niwat,0.41426593865210526,1.5878358784760531,2.338945648128692,1.7371098350769398,0.5263712796167047,1.4810759368567183,1.6868157773426045,1.816078871989154
00000000000000000316,Kham Ta Kla,0.18345207984967815,1.272413529138396,2.01812682708426,1.4228451789265313,0.3798924290748163,1.2621207901163327,1.571806570016223,1.6781553253701555
00000000000000000317,Ban Muang,0.14877737286941586,1.1671980907865056,2.0010847785687127,1.349585110118985,0.24927255267462348,1.3433251733175031,1.538457819289782,1.6778674736511174
00000000000000000318,Akat Amnuai,0.36930572929845257,1.4703830238102098,2.1385509520045325,1.598254766547422,0.5753754405550748,1.3120682831035189,1.5521221736472373,1.6376030906907315
00000000000000000319,Sawang Daen Din,0.5848066597509461,1.642405060256907,2.2887686869158057,1.7887343410116392,0.5548694126383554,1.6712405809032909,1.8488500317851104,1.997596137460098
0000000000000000031a,Song Dao,0.7007964336516495,1.7500213211123496,2.2910129482067494,1.9024424315567408,0.6215418491072532,1.6823098962943717,1.899711965268348,2.044654951217436
0000000000000000031b,Tao Ngoi,0.8229557302341747,2.224877636082454,2.750024071289538,2.7183763440074187,0.8272683903593162,1.904434665887749,2.2903252539889927,2.614618512760933
0000000000000000031c,Khok Si Suphan,0.6118496548236418,1.8732037207487333,2.4562036733104056,2.270869689746202,0.7484835438129108,1.8458620195566153,2.19527583622557,2.4116972867489577
0000000000000000031d,Charoen Sin,0.403193240174048,1.5335915149370385,2.3426253766161396,1.680944945935661,0.4552726783752967,1.6035704126462242,1.764583512055503,1.9173408329634203
0000000000000000031e,Phon Na Kaeo,0.5226860776268725,1.6914724217326882,2.287504615104208,2.0050911442025767,0.7130764641986281,1.7174081947236066,2.005200807769881,2.1724494971139485
0000000000000000031f,Phu Phan,0.8736543249052364,2.199272209689212,2.6757524283442855,2.6533435647105694,0.8517612442387873,1.8465826721630805,2.230172235822874,2.5346630345937293
00000000000000000320,Mueang Nakhon Phanom,0.2919111743616842,1.1483566074613392,1.6512901901694677,1.3655431676460246,0.6248513324027183,1.5768373464451988,1.9523213218068707,2.0107151801246657
00000000000000000321,Pla Pak,0.4192111976008372,1.4692655656260127,2.0151484047436754,1.757188423408806,0.7063152070472579,1.7501681319515021,2.135485080912766,2.2360596826442314
00000000000000000322,Tha Uthen,0.15092695369560374,0.825931140540656,1.2724232038095704,0.950080093846604,0.49518266135819927,1.225084662027623,1.5325245091482624,1.609273929928769
00000000000000000323,Ban Phaeng,0.17182043432531105,0.9348863510912415,1.3915215546324613,1.0158750342616438,0.4517194630893563,1.0874688531442849,1.4244337997258099,1.4953836190641945
00000000000000000324,That Phanom,0.6043263873390208,1.8117962937561407,2.3638730149268654,2.249903270710454,0.7736209651449422,1.9569897911605336,2.4904774205303553,2.6712274508175513
00000000000000000325,Renu Nakhon,0.4624456582881663,1.5535294803043105,2.0865113259454007,1.8782339477532157,0.7437314145687216,1.8721621639735953,2.3351696908014494,2.437912228900947
00000000000000000326,Na Kae,0.6784398769759943,1.990928030466574,2.554797123413308,2.477762995354734,0.7748313202898701,1.9569244513447763,2.439270199888253,2.674480450817313
00000000000000000327,Si Songkhram,0.23725495918467213,1.10531705106449,1.6602468168325752,1.2216810887434602,0.5381678375141431,1.2010164966971946,1.4566151607853695,1.5257981242564178
00000000000000000328,Na Wa,0.41068455596824355,1.4741243976908012,2.08853811098078,1.639727086058032,0.6168090097603732,1.3485902152404574,1.5633301693009933,1.656939344538943
