system:index,admin2Name,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7
00000000000000000187,Samko,31.461996336996336,28.305036630036636,25.72225274725275,23.582967032967037,122.49569597069599,281.69130036630037,229.27390109890112,170.89047619047622
000000000000000001a1,Mueang Saraburi,42.51977477477478,43.37738738738739,42.281711711711715,100.77756756756757,227.09864864864866,300.1286486486487,242.5410810810811,179.93328828828834
000000000000000001a2,Kaeng Khoi,43.23367101303913,39.74076228686059,38.21874623871614,91.2364994984955,239.00074222668,299.3847843530591,242.52629889669004,181.1032196589769
000000000000000001a3,Nong Khae,43.52592301649647,47.36792354019376,46.19125425504059,82.86873527101336,207.65744959413462,306.7133804660906,249.48999738151352,187.1707776904949
000000000000000001a4,Wihan Daeng,48.2455850369726,51.40983036102654,50.608960417572874,98.51470204436716,234.7290126141802,323.2782514136582,265.17825141365813,202.44845585036978
000000000000000001a5,Nong Saeng,38.28568665377176,45.7174081237911,42.94970986460349,78.34622823984527,192.07911025145071,288.44854932301746,232.25744680851065,170.25125725338492
000000000000000001a6,Ban Mo,32.88899420747762,33.63533438651922,30.424433912585574,56.931174302264345,174.71958925750397,266.8466034755134,212.02164296998424,151.35997893628223
000000000000000001a7,Don Phut,29.93513513513513,28.248221906116644,25.323328591749643,38.88449502133713,148.59871977240397,256.35462304409674,200.66756756756757,140.75064011379803
000000000000000001a8,Nong Don,30.84410211267606,29.272183098591547,26.092253521126757,46.75431338028168,177.71602112676055,254.8673415492958,200.36126760563377,139.9303697183099
000000000000000001a9,Phra Phutthabat,33.534008225245174,31.30161341347675,27.971812717494462,56.61161024992093,193.75118633343882,264.81183169882945,211.97450173995574,149.860930085416
000000000000000001aa,Sao Hai,38.02772479564033,41.46614441416894,38.658174386920976,83.43896457765669,207.90395095367845,283.2050408719346,226.81123978201634,164.44911444141687
000000000000000001ab,Muak Lek,34.10429931415703,29.91831303101648,28.033329921179238,47.130801514996435,213.5866414167264,260.3226123451735,210.32613368819736,150.9386938274133
000000000000000001ac,Wang Muang,35.08743932038834,30.777973300970874,28.461589805825238,71.1813713592233,227.58895631067963,267.5667779126214,214.44174757281547,153.03055218446602
000000000000000001ad,Chaloem Phra Kiat,37.80813953488372,35.38667635658915,32.034205426356586,79.5871124031008,219.01531007751942,281.7351744186047,227.44607558139535,165.05532945736434
000000000000000001e4,Mueang Nakhon Nayok,52.87899341393886,58.43757986827879,57.16297060847343,96.2605622726826,262.9509584193454,330.5523641010519,269.16962547920974,208.53080703823846
000000000000000001e5,Pak Phli,56.97026924535459,67.31266590822905,64.941638225256,111.6533940083428,290.2574137277209,346.63602578687903,283.89106939704214,222.2732271520668
000000000000000001e6,Ban Na,53.2037861404314,61.01069297843046,60.04843965121614,106.4201468563561,258.0795318953649,337.3860027535567,278.2327902707665,215.29589261128953
000000000000000001e7,Ongkharak,57.3645086526576,72.42561804697159,83.74355686032136,114.76135661310258,281.75165327564895,358.8925988875154,297.26586835599505,233.74837762669972
000000000000000001e8,Mueang Sa Kaeo,71.26227391718236,76.79759043312714,73.65673488814853,94.27660042836744,260.7110780580677,397.8148500713947,341.7260530699668,275.93404331270835
000000000000000001e9,Khlong Hat,37.872208228379506,128.31497900923594,156.44216624685137,202.37242653232582,275.71539882451725,276.2459109991604,214.27356842989093,152.17595298068852
000000000000000001ea,Ta Phraya,38.21572748072197,34.51713414117448,34.652385391068556,32.64852131175325,171.12702313363275,309.3313956444368,248.76752817557824,187.58747563765775
000000000000000001eb,Wang Nam Yen,42.274133175728934,124.18128447596533,147.8343971631206,190.77657604412926,273.59806934594167,274.28782505910164,215.1561268715525,152.34036643026002
000000000000000001ec,Watthana Nakhon,49.086561640938896,55.36050433495454,58.878298794671174,70.43642947769084,221.57529075914573,350.78057200253755,289.94198562063855,224.88874497779642
000000000000000001ed,Aranyaprathet,40.495625138796356,71.61608927381741,83.41302465023315,108.05847212969131,261.8341439040639,307.1283921829891,244.2792693759715,180.21062624916718
000000000000000001ee,Khao Chakan,47.09704198473283,102.4624045801527,109.02509541984736,145.7745801526718,289.6697137404581,308.6772709923666,251.48711832061065,187.24795801526727
000000000000000001ef,Khok Sung,40.84985639061752,39.83779320248924,42.487290569650554,41.41199138343706,192.37893729056967,326.6402345619914,262.8312350406895,197.68070847295368
000000000000000001f0,Wang Sombun,50.351755919275384,176.1231686000318,223.77603686635942,257.49399332591776,265.479342126172,265.479342126172,206.3418401398379,145.2897822977912
00000000000000000271,Mueang Chaiyaphum,27.54880227596018,25.25126600284496,22.802275960170707,41.280642958748224,179.19584068278814,247.51803129445236,181.4258605974395,122.3327624466572
00000000000000000272,Ban Khwao,23.6959028340081,21.405619433198375,19.41553036437247,40.20374089068826,189.69370040485842,219.00012955465579,152.168,94.74561943319836
00000000000000000273,Khon Sawan,28.019587988826817,25.016358240223465,22.528736033519554,42.93861731843575,170.4559532122905,238.93947276536315,171.38126745810058,111.60240921787708
00000000000000000274,Kaset Sombun,25.578905419766205,23.36702596022469,21.239168058296652,51.76662365264917,143.63299681190227,229.24599969637165,169.39950660391682,115.12945954152119
00000000000000000275,Nong Bua Daeng,16.112125330313322,14.51925254813138,13.226715741789363,42.14644771611931,133.5365873914685,154.77256700641755,91.81413363533414,54.55164590411476
00000000000000000276,Chatturat,23.6511541681617,21.335474225571105,19.441884941992583,22.42027269465375,171.7748714268628,229.01565602200688,163.31516565004185,104.40386317426143
00000000000000000277,Bamnet Narong,26.1038157200633,23.374749428521184,21.434446984350267,29.882064357306138,189.51397925092317,236.69398628450853,172.54114647441529,113.17555829083874
00000000000000000278,Nong Bua Rawe,18.874569851747644,16.97163726869386,15.413699816037228,39.00030299751109,173.67333621902387,177.08831295314363,111.516599935072,63.44205172600368
00000000000000000279,Thep Sathit,24.68846218913889,22.092784638809,20.38385214007782,39.81787345626797,188.58230417864996,214.8244544070377,150.47462358315,94.60546438842833
0000000000000000027a,Phu Khiao,27.970140789988264,25.288961673836525,22.99550254204145,63.087094251075456,148.93203949941338,249.17439382088378,189.3358134532655,133.6678138443488
0000000000000000027b,Ban Thaen,28.47257689325408,26.016593434996132,23.44794520547946,83.01597311966918,172.9187645386405,250.9493667614371,187.83202377875426,129.474437839235
0000000000000000027c,Kaeng Khro,29.565592735414864,26.5882945640005,23.938922751586023,58.74509267321808,174.74545341460382,253.43200646846626,189.2836671227765,130.40814777957462
0000000000000000027d,Khon San,19.4576708207993,19.79852047393948,17.88491620111732,62.33476579286635,138.14521456197429,188.13275830314936,126.04449628583708,80.0040763705568
0000000000000000027e,Phakdi Chumphon,13.242030662424067,11.931833960081002,10.873025744865494,40.1918137113104,127.58215215504775,127.92450101243857,63.81862886896156,38.40740526468037
0000000000000000027f,Noen Sa-Nga,24.50201158183481,22.053459311185616,20.118317586101796,20.56921670222493,165.68543127095393,229.8418165193539,163.53422736970435,103.9149954282231
00000000000000000280,Sap Yai,23.877041111754494,21.420179502026635,19.45104226983208,32.54328314997105,190.91705269253038,220.40078170237413,153.30031847133762,95.92692530399536
00000000000000000296,Mueang Khon Kaen,26.710548281505723,24.121783960720133,22.040400981996736,101.42683306055645,172.11828150572836,233.51684124386256,165.3941653027823,106.80222585924712
00000000000000000297,Ban Fang,27.925389702409063,25.265706188001886,22.73290033065659,100.91939064714217,173.50739253660836,239.02961738308926,173.97661785545583,115.93337269721306
00000000000000000298,Phra Yuen,27.06611211573237,25.072296564195295,23.036564195298375,82.53631103074139,170.4249547920434,233.87273056057865,167.9732368896926,109.36220614828211
00000000000000000299,Nong Ruea,27.814087513340453,25.103994511358444,22.680942216801338,94.17420338466233,171.7243329775881,248.4046653453271,184.36511663363322,125.86101539868885
0000000000000000029a,Chum Phae,25.408569021542903,28.404380791912384,25.356745697436523,93.3935732338428,154.54489108195935,252.50972439523417,192.42224094355524,137.09617282464805
0000000000000000029b,Si Chomphu,25.00768051510042,26.91747662118657,24.201671010271344,115.33564310899898,169.02158516020242,258.7802698145027,194.99739383719148,138.38980530430786
0000000000000000029c,Nam Phong,25.783566395663957,23.04977777777777,20.90455284552845,139.2561409214092,192.43805962059616,229.29789701897016,159.51306233062323,101.56651490514902
0000000000000000029d,Ubolratana,26.863751233958546,23.98440276406713,21.677749259624886,129.81715695952613,179.68339585389933,236.99905231984215,169.07431391905237,111.81956564659431
0000000000000000029e,Kranuan,26.278891687657424,23.558236775818642,21.990898404701927,160.30413098236778,221.25062972292196,233.7107304785894,162.57717884130983,103.97371956339214
0000000000000000029f,Ban Phai,26.408395826540588,23.90048907727421,23.54903814802739,61.0380665145093,163.7851320508641,229.74760352135638,159.717655689599,101.19432670361918
000000000000000002a0,Pueai Noi,26.53839811542992,23.640047114252063,25.777915194346292,62.054358068315665,166.57073027090698,230.28191990577153,158.56113074204947,99.63233215547703
000000000000000002a1,Phon,25.240818903318903,22.530826118326125,20.60750360750361,39.16224747474746,151.9356240981241,220.50804473304476,149.67543290043292,91.76749639249638
000000000000000002a2,Waeng Yai,25.78361702127659,23.215212765957446,20.917340425531915,41.12485815602837,161.42893617021272,223.4384042553191,154.9598936170212,96.83645390070922
000000000000000002a3,Waeng Noi,25.897241379310348,23.055172413793112,20.793324137931034,34.11580689655174,155.89748965517245,223.47406896551723,153.88206896551725,94.91481379310348
000000000000000002a4,Nong Song Hong,25.96439155107187,23.144719419924346,23.394356872635566,50.92098045397227,155.95187578814625,225.8064155107188,153.31163303909204,94.85277427490544
000000000000000002a5,Phu Wiang,26.664911337990315,23.92563138097797,21.721198280494352,108.88644545943042,170.36986835034926,246.99196668457816,181.0732939279957,122.82001612036537
000000000000000002a6,Mancha Khiri,27.165521355285144,25.480625149129086,23.063767597232165,74.26951801479362,177.69257933667382,232.81636840849433,168.3517895490337,110.09812693867813
000000000000000002a7,Chonnabot,25.547872340425528,23.8080547112462,21.481155015197572,50.45405268490376,165.86856636271528,223.63923505572447,155.05995440729484,97.06479229989868
000000000000000002a8,Khao Suan Kwang,25.92296446243815,23.17507872244714,20.961381016644175,140.59977507872244,188.43659469185783,230.82557354925777,159.85240665766983,102.83733693207378
000000000000000002a9,Phu Pha Man,24.11907773386034,40.355783926218706,34.24890645586298,117.1872463768116,184.6378919631093,248.16824769433464,183.90611330698286,128.50055335968378
000000000000000002aa,Sam Sung,26.35335820895523,23.981218905472645,22.683374792703155,136.21956882255398,207.95742122719741,232.99013266998347,162.85095356550585,104.03971807628524
000000000000000002ab,Khok Pho Chai,27.606012461059194,25.399439252336453,22.795732087227417,58.04018691588786,177.48657320872272,234.2335514018692,168.1290031152648,108.82934579439251
000000000000000002ac,Nong Na Kham,25.296734130634775,22.85225390984361,20.872171113155478,115.28725850965962,168.07704691812324,250.33721251149956,184.70441582336713,127.35275988960444
000000000000000002ad,Ban Haet,26.557405365674384,24.485042263873577,23.44906284454245,72.10867328188166,164.7528114663727,231.4391400220508,163.36787945608236,104.6983461962514
000000000000000002ae,Non Sila,25.856757950530035,23.424293286219086,22.073233215547706,48.425044169611304,157.54964664310953,225.53087455830388,155.60335689045937,97.636351590106
000000000000000002af,Wiang Kao,24.98565552699229,22.667403598971724,20.75326478149101,100.18560411311054,160.16542416452444,254.87632390745506,192.21354755784068,135.28000000000003
