system:index,admin2Name,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
000000000000000001a0,Noen Kham,0.3636836776225251,0.38517558894617326,0.5645872590073903,0.5801697429006825,0.6335193576327958,0.403656622401136,0.6438039414961192,0.5258477447750249,0.14969084576839342,0.3810330668070981,0.3815748392855218,0.5039269570290705,0.5669204801290815,0.6034794500316623,0.5342839936026431,0.4054578670300591,0.5142352776947552,0.4468295075472297
000000000000000001ae,Mueang Chon Buri,0.47251193159142146,0.4440819269423007,,,,0.35047983714601016,,0.5624795559591708,0.326909228987436,0.44280460367048763,,,,0.6219123077005204,,0.4906013290246931,0.5070785197869845,0.43084336632295606
000000000000000001af,Ban Bueng,0.5498811477943994,0.5323818668648714,,0.5798694275864635,,0.5650600322379367,0.6657914090651558,0.6288912876164628,0.36407159748934736,0.4534973742222806,,0.5962091689758704,,0.5857255613675236,0.504103068155988,0.4730309784847168,0.5971701769210961,0.47755067951650154
000000000000000001b0,Nong Yai,,0.6117839588390421,,0.7321765919113631,,0.6242359839256252,0.7207804917821459,0.7027034131896877,,0.5422486847831196,,0.5786720751833238,,0.6324468901050341,0.5380268397292641,0.5100152843743705,0.6944843761876212,0.5348750008145963
000000000000000001b1,Bang Lamung,0.5685354239549172,0.5646061206206173,,0.5500997460533286,,0.45232139910598795,0.668870030052033,0.6581835289122447,0.36856516744922574,0.4642590464211378,,0.48373484581404486,,0.6502376442350105,0.49660681688524655,0.47637967208400933,0.6059778566891771,0.4440638446945847
000000000000000001b2,Phan Thong,0.4740006899435013,0.4938279385939707,,,,0.3465233926995758,,0.5583399827502709,0.3829089115098299,0.4723712075750005,,,,0.650537874652787,,0.5226908636423151,0.4828027049280493,0.5103672004088448
000000000000000001b3,Phanat Nikhom,0.4751555204801148,0.4785638053342165,,0.6046623167407499,,0.3580105176017181,0.625744250042563,0.5962098146855204,0.3527385847121262,0.4357245009015009,,0.5025467842699494,,0.6547826558209522,0.49236111606030686,0.5182903151959241,0.5233309517709956,0.4977458598869898
000000000000000001b4,Si Racha,0.5935013399869846,0.5457568995283052,,0.56772161116723,,0.5576598302637193,0.652499015552662,0.6457674031920622,0.40465744604933884,0.444319704036025,,0.4870855696873212,,0.6315064297466758,0.4981575651887656,0.44525911611006463,0.6077969763002821,0.4450329181969522
000000000000000001b5,Ko Si Chang,,,,,,,,,,,,,,,,,,
000000000000000001b6,Sattahip,0.5609454544011961,0.5795295368911673,,,,0.4381751977056479,,0.6702151668409503,0.36537199127765185,0.48860523499636493,,,,0.6812326371481936,,0.4970322747350322,0.6050376517505355,0.4544106341125518
000000000000000001b7,Bo Thong,,0.55550731650227,,0.6935257585001492,,0.6513784097077707,0.7097484060889134,0.6734925587558794,,0.4792350196711635,,0.5733522764986148,,0.6137619454718525,0.5162805069941384,0.48882167003734256,0.6812745288985952,0.5208187914138239
000000000000000001b8,Ko Chan,,0.5279056900716435,,0.6287027667014753,,0.55559812900478,0.6700776013656036,0.6074432659359867,,0.4591943607988628,,0.5130068313852871,,0.6042059089152759,0.4847356192736427,0.4406443985921867,0.6155123705153878,0.4794664423051402
00000000000000000288,Mueang Bueng Kan,0.29215712856144843,0.4278095904194806,,,0.6544187903210962,0.6589633149763682,0.6341366891889935,0.531453008959845,0.37438724896622366,0.5698820832868255,,,0.5198138093372277,0.507576824275451,0.42866093169077335,0.28850178000856824,0.5705770557769163,0.434554096931933
00000000000000000289,Phon Charoen,0.44390181123429545,0.25744752242027774,,,0.6166532639771352,0.6163040393030516,0.566920203631947,0.4336828604413421,0.3520399161838688,0.663874434396468,,,0.46986838692871735,0.46421157062289453,0.35840882707749433,0.18761627443639003,0.5219182782630811,0.34231477613792344
0000000000000000028a,So Phisai,0.4622823955304177,0.3624496987001968,,,0.6165335370520628,0.630613226057612,0.6012321502761201,0.4741819071669343,0.3671190157279603,0.5744194882788025,,,0.49685744585710356,0.5070798548584363,0.4118748956431577,0.23776877242931393,0.5580963987107073,0.4049183697818423
0000000000000000028b,Seka,0.300095310294102,0.22801840199607212,,,0.654979680174374,0.623300871449629,0.5621041639060816,0.453905851317875,0.2987424940723512,0.6381768815611244,,,0.5410910235260008,0.48296411476850665,0.37501408124245933,0.20514163996101253,0.5336330321855417,0.37294827065649655
0000000000000000028c,Pak Khat,0.45718360290593746,0.4340736032345093,,,0.5746090246222152,0.6508976337054582,0.6311038208026822,0.4905204089425971,0.3517345778815054,0.5356315365336235,,,0.4814537325490788,0.5199237781519432,0.4297596211266149,0.24076965900214212,0.5574960820877544,0.4153345019639674
0000000000000000028d,Bueng Khong Long,-0.2937111818502142,-0.281997420985637,,,0.6644744075879743,0.6273594962471002,0.5170050291912094,0.48544671821767726,0.2978966225380765,0.8688798742047672,,,0.5393335697056375,0.471457398730871,0.3214786723014005,0.2651140120672587,0.5335521678169908,0.4110661554424077
0000000000000000028e,Si Wilai,0.2668735843242896,0.3261671781864261,,,0.6494769872361685,0.6449551058346177,0.5811040242418906,0.47105695718473056,0.2928818778959681,0.6323912579041895,,,0.5104165768548178,0.47259204536430643,0.37806228794058705,0.23267924694021264,0.5184889767383541,0.3675907723583899
0000000000000000028f,Bung Khla,-0.11103632909773631,0.3853018361084454,,0.3798210495048099,0.6687819624266528,0.627939322387953,0.5634946111016992,0.504016315374197,0.36512601206335066,0.5905978671406038,,0.4549190660317739,0.5509916121446461,0.48139895352852563,0.3595887653486562,0.2751235155511118,0.4473007803991274,0.4025267138957958
0000000000000000030e,Mueang Sakon Nakhon,0.3535473790123151,,,,0.6410847984637209,0.6143298484774168,0.4797574900926549,,0.36640369216395113,,,,0.5738938574680386,0.5159587531407894,0.32698376748986463,,0.5639242250055642,0.4504533188871031
0000000000000000030f,Kusuman,0.3677525651649481,,,,0.6698233808127197,0.5869919453378982,0.44877576560599075,,0.3438295179823253,,,,0.5590675326259981,0.457978877349925,0.24849417959653938,,0.5563545205948287,0.40550368432429473
00000000000000000310,Kut Bak,0.49838091559411135,,,,0.647371803729546,0.6124451082192074,0.5278967682090309,0.4269565392510449,0.38807357277198207,,,,0.5299709417085818,0.42812292638234095,0.3067435203575177,0.16416474290251679,0.5571503623075063,0.3727727368915623
00000000000000000311,Phanna Nikhom,0.45937754709298484,,,,0.6683064575859161,0.6216998717107114,0.5212744024809196,0.4086175745723381,0.2988343361842584,,,,0.5690050257369801,0.4741293236058418,0.34216501847788566,0.20288547069890978,0.5557472831519854,0.4016831874747853
00000000000000000312,Phang Khon,0.40259592168759256,,,,0.6638715563044547,0.6196870689888628,0.5472979948097018,0.37704076052388596,0.25114111282304197,,,,0.572993636656458,0.5133303755944914,0.39261182835974734,0.17478526069816358,0.5122995059274329,0.3652957949762244
00000000000000000313,Waritchaphum,0.48315658476208456,,,,0.6857968999608036,0.6842263734908866,0.6179446330634274,0.3843046350274633,0.30589611290604257,,,,0.5722713737414109,0.5559829391360354,0.4413289941337046,0.1411854959820541,0.5475314776129703,0.37165915528966464
00000000000000000314,Nikhom Nam Un,0.5662314537074056,,,,0.6744005447286456,0.6633635240230888,0.5951762588549132,0.48459807896078727,0.3946006434970013,,,,0.5546644373618039,0.4949603431687829,0.3816269486915394,0.22097250297404397,0.5904737913633143,0.3988217837055949
00000000000000000315,Wanon Niwat,0.46554535598545577,,,,0.6634741851363164,0.6182117376103812,0.5286251444720665,0.3993815838846811,0.29039919756847404,,,,0.542974585568103,0.48484886237081315,0.32084298793300414,0.12863208764818385,0.5228537508401336,0.3281427587798562
00000000000000000316,Kham Ta Kla,0.4117979163096469,,,,0.6477176738280457,0.6131896622896003,0.5436616180557621,0.4322076803201196,0.18056931652597732,,,,0.5302771287813799,0.4910335130377055,0.3433549567589284,0.17529415253747754,0.5267034627657813,0.3349151140831113
00000000000000000317,Ban Muang,0.4201636904438884,,,,0.6085139309284199,0.597709700650469,0.5591941501994211,0.4347590171408494,0.2264544647944286,,,,0.48274751235646257,0.48457565360803667,0.34762027411898916,0.18382397679380033,0.5171548621280111,0.3286737903721835
00000000000000000318,Akat Amnuai,0.34999245375030574,,,,0.5956062675603659,0.553883185283783,0.4345217290700613,0.38884911287355683,0.33091785034122745,,,,0.5677769883127358,0.454623188000379,0.2973124749719274,0.1191352187077884,0.4826395206824278,0.3761378167878905
