admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Hat Samran,TH9210,2016,,4.55217192009007,6.068822561842019,4.910251078699421,5.014947821212261,5.713227693882502,3.6722214894214633,4.552348277983625,5.067574812253965
Mueang Yala,TH9501,2016,2.663298059147146,3.767660151106943,4.42590878245781,4.6357183813104115,3.457241728516155,4.209033087413011,4.1991353161158305,4.392105106666297,3.982399345155595
Betong,TH9502,2016,4.28487599285604,5.496064056461476,6.309315294578663,5.557021961455386,4.772718059067346,4.0107043821599,5.6285354036212105,6.124541136514426,5.379528392116017
Bannang Sata,TH9503,2016,4.347884775838273,6.118089287643099,6.022010295464303,6.465705662154348,4.440862548331887,4.3234741776035746,5.258015817095449,5.692494771009513,5.361962045081626
Than To,TH9504,2016,3.482842106771931,4.054809440488643,2.9495738592711436,4.195768220360001,4.957610261057977,4.304321382384845,4.543177894945399,3.1352238878375,3.8056035900275718
Yaha,TH9505,2016,3.985494120701924,5.998655578704676,5.978083974558509,6.2750834626752905,4.123917163178502,5.270179752402845,4.2142182247222175,5.748126181999846,5.461347974439725
Raman,TH9506,2016,2.4142907174390946,3.11153718449204,3.9265410976505923,4.450247201712393,3.303352624489695,3.629130616648794,4.06095880491677,4.897489377282675,3.713848682688696
Kabang,TH9507,2016,5.098431434180965,6.427191578004306,6.831649212824876,6.906863051788267,3.9140302904896593,5.044432646083427,6.368784863757551,6.719144593768921,6.118054261858705
Krong Pinang,TH9508,2016,4.1887337631880905,5.649854325444964,5.853289529027928,5.7932132114453,4.338838601775923,4.370579526207454,4.715727549239087,6.024428168766885,5.170125687661596
Mueang Trat,TH2301,2016,3.151737217953671,3.9912065282282128,4.178630273130322,3.844099055442313,,6.050517953101772,5.2315902444059015,5.4337919984737155,4.661102870229789
Khlong Yai,TH2302,2016,1.9753154328634255,3.3841801695166818,3.5475651983903633,3.3455396895209417,,4.397288224492618,4.3208321069482025,4.523627603660566,4.018867432907495
Khao Saming,TH2303,2016,4.452967353082919,1.6106316422231537,4.640900885498985,4.6074475516181055,,5.744500573615208,5.146328503443265,5.757208964089548,5.014544964613368
Bo Rai,TH2304,2016,4.470987749466675,4.663635956979715,4.902643923828233,4.410791221896079,,5.608933281008641,5.988701496787835,6.233754422017226,5.259730398162921
Laem Ngop,TH2305,2016,3.31445447941932,2.6982825521535836,5.504855140520765,5.1678557662034335,,6.099757005519555,6.242288678381565,5.321359754148356,4.9534194235079045
Ko Kut,TH2306,2016,2.543075205573267,,4.738419733307408,4.7244324440133285,,7.9448573093818196,6.731821859459178,6.113189230439776,5.635480575016227
Ko Chang,TH2307,2016,0.16245620957511253,0.11244769909322579,3.548809255442789,,,5.905309236825443,6.564279530757471,5.958633602317573,4.67624178572922
Mueang Phrae,TH5401,2016,1.4976079452154167,2.122086156275285,3.4728334631496423,3.1957129683841825,3.2838650336547066,4.555578350309951,4.402297718831956,2.7682198002917833,3.1016623995967025
Rong Kwang,TH5402,2016,1.663006921185422,2.3087118405056994,3.335821035801321,4.540119790955609,3.1909791624224586,3.9018994864086696,4.610366917071654,3.344817990919312,3.381162648410536
Long,TH5403,2016,1.9586834552779673,3.2908347163896723,3.1063468982179088,4.136027585364923,3.5462539960565875,4.908823896164871,5.702307687844212,4.0520499465716995,3.8624915135237283
Sung Men,TH5404,2016,1.506029434819738,1.8851048267886557,2.9910756290168585,4.53149567411296,3.3787586562059992,4.822679830314939,3.7316792210838274,2.267575372817834,3.122978516840832
Den Chai,TH5405,2016,1.7268916731924433,2.488589037799505,3.562135398439009,6.363704200096961,4.452182565018824,4.4075144043290635,4.431910776449471,3.170805766841726,3.7267896543778125
Song,TH5406,2016,1.707440304856155,2.4188213070934794,3.1961324815692667,4.091447819003412,3.376730347916309,3.6657858047630354,4.356392917148275,3.23840366971704,3.1969374645409703
Wang Chin,TH5407,2016,2.289206860680524,3.3671664492748636,3.1791877573579215,3.7599959765028492,3.7819546554820205,4.907636476867139,5.799573638275796,4.121283296793877,3.907065813904597
Nong Muang Khai,TH5408,2016,1.4452850563880435,1.9738599474862952,3.3028403837902545,4.153949738693736,3.5933437456629216,3.121297803979214,3.5784813029642857,2.5937819713389736,2.875305948173587
Mueang Nan,TH5501,2016,2.505768391334541,3.071959368178281,3.1770368795935577,3.7997106100970144,2.5222936582324818,4.921078649215844,5.078281386951764,3.402769060922624,3.7185056275957025
Mae Charim,TH5502,2016,2.6142479611226017,3.4464496099084254,3.1429607241301194,3.314047001816987,,5.265170668240418,4.908671258145095,3.429443728098884,3.755466411278803
Ban Luang,TH5503,2016,2.325857808953065,3.000773412932882,3.36733005173533,4.07286510512652,3.325493704550136,3.6108483712696455,4.943469861781129,3.0985665606694837,3.480549427584682
Na Noi,TH5504,2016,2.117566397790238,2.3833923640647168,3.027799708470164,4.588610881295902,2.978200986106063,4.143807191629356,4.655937387799229,3.607478931455398,3.604311572713651
Pua,TH5505,2016,2.6610009783147874,2.841930549814381,3.0314649449109354,3.8805948278282165,,4.548492780416905,3.741172715946118,3.0298389511449955,3.406011736026701
Tha Wang Pha,TH5506,2016,2.758096247656634,3.131358840048472,3.3358032644346896,3.6601269817605258,3.7686538420568945,4.423380345042206,4.231639702185535,3.0192270509808554,3.5115028144497766
Wiang Sa,TH5507,2016,2.2035431503454346,2.7835758481612154,3.2898624686753237,4.567841846738842,2.9055886409071903,4.470610923612429,4.70158491579137,3.435603618513403,3.661877595894435
Thung Chang,TH5508,2016,2.277485760985819,2.947602533562387,3.584137529417801,4.197193750576548,1.1944787470770135,4.734641228681926,4.734399514572952,3.4580074083295878,3.735931544321398
Chiang Klang,TH5509,2016,2.625030128156839,3.089968776262966,3.4729271408217786,4.215552140865476,3.43034516343206,4.347732392543575,3.8897325581662403,3.299291902422786,3.569742600160218
Na Muen,TH5510,2016,1.9116322450180083,2.4373481396248655,2.8300993247079145,4.678753645090696,3.733661604265483,5.091638674667537,4.919774379442763,3.356902866137814,3.8494195634872113
Santi Suk,TH5511,2016,2.959118825178478,3.2014282271143624,3.59174536298119,3.3070347972634084,,5.066944852542367,4.5414058644046955,3.2265805016567994,3.7088273007804284
Bo Kluea,TH5512,2016,2.7478872913646017,3.0299625014691385,4.371815662338411,4.321987971792818,,4.3083809661087225,4.242638968693822,3.900409795825747,3.876887930394149
Song Khwae,TH5513,2016,2.324224867467651,3.2910716006555525,4.297712301667535,5.055618529630605,3.2204350586096244,4.495109074102023,5.212169636870169,4.523040695392306,4.171752499835339
Phu Phiang,TH5514,2016,2.8468663932160103,3.3900296509623797,3.141684742955524,3.7438924031932683,,4.999258152493854,5.1356506977759455,3.27642852916941,3.797671301784629
Chaloem Phra Kiat,TH5515,2016,1.9427190162258892,2.723392391095079,4.028907814612001,4.053121774854042,3.0933136503913436,3.4991491962840287,3.7049582827907432,3.2545755945052797,3.318968079140528
Mueang Phangnga,TH8201,2016,5.371240181943195,3.42150638549434,4.4940643358064785,5.363886303521935,5.25866854658222,5.405845062271466,5.560083361459797,4.259685928880826,5.217156830141063
Ko Yao,TH8202,2016,2.9899323870472947,3.71297494178313,5.286480724984965,3.6352469633927256,4.154062897987989,4.471010051424502,4.913354602455647,4.10576534209391,4.1866779335968
Kapong,TH8203,2016,6.409212592989738,6.533942210127843,6.84910271251008,6.976633761487952,5.42073562184609,5.39870507602958,6.373451034882722,5.047289778863332,6.437715671157123
Takua Thung,TH8204,2016,4.8057095336683275,5.1475621263700155,6.100290336432095,4.97403542583397,4.146338799803628,4.685400204630163,4.676594035577831,4.313527523440288,4.943276264142145
Takua Pa,TH8205,2016,4.111087048779173,4.1157384833331125,4.882912344160924,4.371209928266842,3.975161257300012,4.485717171852437,5.5044724125682265,4.105926470731003,4.4992313297191515
Khura Buri,TH8206,2016,5.3790297738234205,5.3703088878908805,6.192130370586556,5.633705642045827,4.521094447088695,5.080715428203588,5.554310936342621,6.07625594766103,5.6923611294339045
Thap Put,TH8207,2016,5.043027674270554,5.0308809574855395,7.320685330709312,6.408055565804633,4.967043253109887,5.935223365543772,5.4538943307425125,4.7499478139078954,5.609866028196754
Thai Mueang,TH8208,2016,5.406903633050043,5.324987101657459,6.052507609869362,5.414572134642428,4.523965365934475,5.347889365427418,5.691252268404315,4.309814706848669,5.425115903599694
Mueang Ranong,TH8501,2016,2.8549012484604606,2.8006908071431975,4.215133249610223,3.306105646167801,3.147680632097228,2.756190963585605,3.9667419300353175,3.6743486663512246,3.3936460393183054
La-Un,TH8502,2016,5.375457644638404,5.591697438028056,8.196117403822466,4.613214469909525,5.92698408990647,,6.60833636537344,,6.315000338037927
Kapoe,TH8503,2016,3.909610807253023,4.3505698471553735,5.352031824581087,4.434894992920485,5.087141456164511,2.5504930778374533,4.963688166037303,5.159971439613454,4.614837066015876
Kra Buri,TH8504,2016,5.6717300312002505,5.744997039599713,7.76014372076207,4.424225522215209,6.71028778047532,,5.804696168194371,5.6351694255565405,6.1247987921542375
Suk Samran,TH8505,2016,4.970661876760456,4.443838014979706,6.052036130384628,4.825241343283843,3.149651524744103,,5.003175006428059,4.811059545799162,5.043000239052686
Mueang Chumphon,TH8601,2016,3.744306109052282,4.963737172507894,5.553588808775987,5.518427630837759,4.54763950140621,5.2631134166562195,5.775589065961937,3.4164894397475627,4.753758691516731
Tha Sae,TH8602,2016,4.95761969854061,6.083233875383933,7.105649029174023,6.181735940896948,5.9849676913062835,5.539694156999744,6.305631164124796,7.2713517428461625,6.235323819757569
Pathio,TH8603,2016,5.152322987746975,6.035367280013746,6.8913195015614015,5.924008392313788,5.83881567791165,5.039250324211734,5.200393999602401,5.814718611715545,5.660409477379886
Lang Suan,TH8604,2016,4.028667874775332,5.814379533616244,6.099452529486798,5.592767913552682,5.092742505113272,5.1224061020070994,5.95324080466064,1.770843080873918,4.763916533701644
Lamae,TH8605,2016,4.009677170676293,4.9989879693229895,5.839456872798371,5.94815409836113,5.05230203717686,5.72694876130486,5.307787746674846,0.43515747747203715,4.417390119334122
Phato,TH8606,2016,5.238654169876883,5.991747783806223,7.149090991495149,6.035004016216542,5.3607750385546575,4.8559203255615175,6.406193945973299,1.2085675173258839,5.842833969418285
Sawi,TH8607,2016,4.853413585537786,5.531312704535097,6.46248357992434,6.176448384613359,6.110282926085438,6.181676886653858,6.250827278614775,2.7708476735003567,5.441565146359133
Thung Tako,TH8608,2016,4.414593390618345,5.92803052443965,6.105872498364619,6.132349562232807,6.381282617424612,6.33180918110797,5.804903475049269,2.806008306533082,5.359733725401726
Mueang Songkhla,TH9001,2016,2.3115949008183914,3.4045512044429005,5.0997363193224405,4.145675549035901,,,4.474521201253853,5.11019083249604,4.543059695777137
Sathing Phra,TH9002,2016,1.841344240329787,2.2255974500262266,2.2578583844398334,2.1470662150554642,,1.6928161195968112,2.826564592557679,2.644520506672963,2.2342963614322593
Chana,TH9003,2016,2.553793368937648,3.415622845326978,4.559984626878694,3.9036572958717946,,3.7710729974460087,4.170839701343439,4.842235597185988,3.9765382117073624
Na Thawi,TH9004,2016,3.7102681222679275,4.365312783013562,5.4532925523729965,4.840003300881899,3.980959804307376,4.4495567067447,5.681429751613659,5.322904123085906,4.781049704542792
Thepha,TH9005,2016,3.351906209445839,4.567905276284364,5.6322584027123215,5.1644187727916595,,4.439679377227344,4.981624801999409,5.946503101385925,4.975354328515512
Saba Yoi,TH9006,2016,4.871560334766851,5.808946340402529,6.370351666745536,6.445170907635783,5.406705260522637,4.847263138787126,5.620706127240593,6.447850245178679,5.865663428043751
Ranot,TH9007,2016,1.6408413940098308,1.9720991885783672,2.145964557405287,2.7315134968310146,2.969586237622118,1.80551574867687,1.9750339063678461,0.8051919016426927,1.7905252620601912
Krasae Sin,TH9008,2016,3.3522568703165425,3.257402541850776,2.8498502275539304,2.6304620003305135,,2.228825661034391,2.885343822053451,0.9832224166570702,2.8514345578082483
Rattaphum,TH9009,2016,3.841789695340979,4.391915303963317,5.270901248408576,4.636108297318378,,4.396481159588698,4.771807761787994,5.814828639506593,5.0207865407115095
Sadao,TH9010,2016,4.173084147808389,4.742308820486,5.720994480111077,5.443402456842697,3.8547314719616526,4.609200028958574,5.841991705172712,9.230144759580618,6.042055698521206
Hat Yai,TH9011,2016,2.985808163272679,3.7793534910732145,4.767732190562084,4.189091952036063,,4.381133283573152,4.884425030832599,5.015746712402514,4.479246164410751
Na Mom,TH9012,2016,2.979636220461104,4.738283023351319,6.129629323435854,4.96381834469573,,4.406102843645916,5.218606215101161,5.994631711129303,5.302617947077295
Khuan Niang,TH9013,2016,,3.6451082684782294,4.640016849903099,4.091916852409004,,4.166828907234013,4.540255826526382,5.316122445675415,4.464973852827712
Bang Klam,TH9014,2016,2.677698821529698,3.4059970875707903,4.514438493959624,3.6718398525833362,,2.9677372740113186,4.687822917376453,5.005663905644608,4.363094506226651
Singhanakhon,TH9015,2016,2.7583415337955963,2.376025656535895,2.608043929243112,2.3032708206842796,,1.880532928977335,3.3124653514479556,4.016312919860814,2.776076654820635
Khlong Hoi Khong,TH9016,2016,3.670355128030089,4.596029607635386,5.30620672319343,4.73661320219432,,4.371962198727921,5.410048674037367,5.911993360476068,5.042150955515044
Mueang Rayong,TH2101,2016,2.4397110290794877,4.182525428725329,4.742271917645129,4.018642094397776,3.4945203009849326,5.057741891119391,4.951422400377717,4.9412341373615,4.566031545059012
Ban Chang,TH2102,2016,1.8060352091442453,3.954176460161736,5.056714156678576,3.387291697889371,3.5919036199032437,3.8367358476360907,4.3084228022409965,4.238682396092438,3.9450479621155825
Klaeng,TH2103,2016,3.6402177183216233,3.3474035171174847,4.815222290184443,4.040933565157688,,5.017590164019774,5.356856149022493,5.086548087909919,4.654357228731504
Wang Chan,TH2104,2016,3.333117309105047,3.5566759482499104,5.709029229548447,4.410984886112272,,5.310986642215243,5.736897840873127,5.567449325672493,4.958617143996586
Ban Khai,TH2105,2016,2.917347246385426,3.744092759228604,5.139402488284498,3.930701046551974,3.8346239587169695,5.017784836648027,5.265599375585791,4.992704689227926,4.563459918001576
Pluak Daeng,TH2106,2016,2.5738428270081792,2.273546805587642,5.3724559200825555,3.5420122440441433,4.539292555576314,4.967835892316659,5.22471541732031,5.060933434232915,4.316014771182856
Khao Chamao,TH2107,2016,3.5038994044484477,2.9993910612206323,5.740647322841367,4.607551849470653,,5.20615551359563,6.5174824205881015,5.463635972237024,5.033649769060983
Nikhom Phatthana,TH2108,2016,2.1636904665675383,3.4386178617076246,4.849083038665168,3.5130763386547788,4.13131938386556,4.67440697280419,4.758815379165281,4.605958106658773,4.185464691651461
Mueang Yasothon,TH3501,2016,1.4938768897540333,1.9292904972325606,2.4131080599577612,3.6768243038104864,,2.9380245719468707,3.2756465376010144,1.9945864947006196,2.3483838842356604
Sai Mun,TH3502,2016,1.4869369899165197,2.1290521617360225,2.1642503867488467,,,2.4712693130441723,3.679252257547551,2.386468465000379,2.4787361742998875
Kut Chum,TH3503,2016,1.3559108519261818,2.0672059587302276,2.158286083136607,3.01572813435849,,2.5189984111948935,3.540444171522745,2.578661327883085,2.4429445418963254
Kham Khuean Kaeo,TH3504,2016,0.9782715032847481,1.928913846993947,2.4141533875989283,,,2.853250662671102,3.254309157069733,2.1506507335775336,2.318862192228064
Pa Tio,TH3505,2016,0.9132914861031273,2.3412269095787965,2.899808038573522,,,2.7364653448391483,3.3044781814504867,2.3695618580605515,2.614117609237042
