admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Su-Ngai Kolok,TH9610,2014,176.110737323761,209.8067467212677,176.5694932937622,241.46932172775269,294.0983943939209,259.8784337043762,669.979501247406,870.9703521728516,2898.8829805850983
Su-Ngai Padi,TH9611,2014,,,,,,,,,
Chanae,TH9612,2014,,,,,,,,,
Cho-Airong,TH9613,2014,172.06118297576904,132.28594779968262,191.57684874534607,166.2842299938202,248.51308822631836,226.92761969566345,729.0049934387207,850.1488523483276,2716.802763223648
Mueang Pathum Thani,TH1301,2014,105.5399273959073,152.79876281998372,127.4873916019093,218.83762680400505,175.2079687985507,179.35313203118065,97.25589127974077,5.020050666548989,1061.5007513978264
Khlong Luang,TH1302,2014,105.98037538954273,169.6309921445455,173.16125733622397,235.3941735724893,209.2694749394939,189.613756924213,95.2235515871385,4.26533559013119,1182.538917483778
Thanyaburi,TH1303,2014,117.99523549200147,154.9900042498321,164.00398252564565,228.78183689138345,218.84338798648432,180.05357111964307,94.21742983868248,2.6378186815663387,1161.5232667852388
Nong Suea,TH1304,2014,116.5687945221844,170.42352286278148,195.28272170026395,228.32616809408572,247.00623025995267,176.7477868433976,99.06992356296983,3.8533445214214255,1237.278492367057
Lat Lum Kaeo,TH1305,2014,93.527599016007,139.49557969626542,98.95108139869552,207.14262367913423,177.5168877029856,217.62927848214332,104.8703641447741,5.697574586312705,1044.8309887063178
Lam Luk Ka,TH1306,2014,125.57713021734881,154.40339760260562,154.5729419269833,225.72621809385402,197.196419639949,193.7301770384278,93.75071489867442,3.746295309405757,1148.7032947272487
Sam Khok,TH1307,2014,98.31162446746393,150.60190627702323,121.16785443975729,210.5261421480252,176.37548468167552,199.64901023165876,97.13013982263232,4.8038408506121355,1058.5660029188482
Mueang Chanthaburi,TH2201,2014,,,,,,,,,
Khlung,TH2202,2014,192.1617435605381,488.5825588733624,364.28975583608155,550.2035091106122,572.5095816957302,322.73031839604573,123.15911918611951,51.62778907600112,2665.2643757344904
