admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Lom Kao,TH6704,2017,0.9718599596535404,1.3606071887462259,,1.8318301370858112,1.716582236898181,1.7388212562416674,1.1952910136493495,1.078880479088825,1.3476727013000542
Wichian Buri,TH6705,2017,0.7125611872652787,1.4655008707309716,,1.5775554525853102,1.5841605573189868,1.8043145489260994,1.6743334114627526,1.3721716593393565,1.4369712006345525
Si Thep,TH6706,2017,0.7051266416884363,1.3056952095323922,,1.5798058465172182,1.5493866915042975,1.6932157610697691,1.4875197456885023,1.3031011072280467,1.3022363544413487
Nong Phai,TH6707,2017,0.7476306639633329,1.417703457013786,,1.3109553185290195,1.384117145160695,1.6564183705194633,1.466987385222683,1.0830866499746992,1.2874247137124322
Bueng Sam Phan,TH6708,2017,0.7332357980023124,1.565607749103867,,1.6439891132474487,1.512978467323697,1.8517719487898343,1.5698874553355575,1.3031590657800254,1.4378095606063233
Nam Nao,TH6709,2017,1.3188659978372248,1.509556588117385,,1.9194194674693732,1.793639114896279,1.8056546862825316,1.452399039534977,1.2041229209408189,1.4538974513630145
Wang Pong,TH6710,2017,0.8306762479573789,1.1757791632286552,,1.7346486824444574,1.3606464298957461,1.6106369580194788,1.2820827961935215,1.1439829059882167,1.2670456976500009
Khao Kho,TH6711,2017,1.359225112844349,1.6085011674701801,,1.8400889119707386,1.719353819694567,2.194301732526311,1.5260872027276462,1.2955459057644971,1.6219259914013726
Mueang Kanchanaburi,TH7101,2017,1.285659188020514,1.500612942806988,,1.5997651219748117,1.7513442372507677,1.9444072407625241,1.9102601797343486,1.6054142210705593,1.6530374600006519
Sai Yok,TH7102,2017,1.3564209410095305,1.6240139230605015,,1.9007464745800162,2.395331448782171,2.088021901725087,2.0405324540411494,1.6655403231407526,1.84282743566361
Bo Phloi,TH7103,2017,1.2710536108518524,1.507779359693699,,1.487659633966751,1.7559575250300334,1.8970438774409144,1.8625525666238008,1.5480308909595446,1.6173362655134595
Si Sawat,TH7104,2017,1.2205020746434183,1.3997835651738053,,1.589462438112149,1.9061810627804128,1.8215730384761624,1.6959404814409789,1.4195579118707848,1.5641833036075083
Tha Maka,TH7105,2017,1.3841075025863785,1.5980855851323568,1.2897140293205613,1.2739926813529148,1.6663258311472615,1.9056684952089653,1.9742733206828547,1.3415493427660259,1.581215614549661
Tha Muang,TH7106,2017,1.1286571061889725,1.3675988084676565,2.4948729679609944,1.365373718802799,1.5883144713063526,1.7343497290158192,1.771117251313315,1.3418657210807858,1.4871958732034336
Thong Pha Phum,TH7107,2017,1.6972257397044264,1.910415083134552,,2.1319714596560626,2.5959553210783386,1.9764761161110405,2.0287364397187666,1.6826546687252906,1.9989373701902138
Sangkhla Buri,TH7108,2017,1.8538531207648903,1.9645261597195467,,1.7719201846143189,2.0579316074956644,2.178418324689914,1.8062262156436983,1.4299652139424517,1.8078735482428134
Phanom Thuan,TH7109,2017,1.0957171272272006,1.1331343579615565,1.9532790584527246,1.1725819220165274,1.497941039022594,1.7975592118841268,1.792532722534535,1.189774026901796,1.4077184036530488
Lao Khwan,TH7110,2017,1.2255537283107738,1.379604177054354,,1.5157749134224663,1.6583409024177038,1.7134034867524435,1.6092089364083484,1.147198397347736,1.4614730196029424
Dan Makham Tia,TH7111,2017,1.195448578463629,1.5019019005247545,1.6626856557018723,1.5242742932136966,1.6744418051285184,1.7072250823416097,1.7608243454528012,1.5452599426501223,1.5563930544737385
Nong Prue,TH7112,2017,1.284127807743273,1.512373568120991,,1.4022130081310034,1.7700173994971857,1.9357207985731344,1.8256730691303484,1.5379180110360968,1.6013335110928484
Huai Krachao,TH7113,2017,1.056125744301641,1.1640054248477512,,1.2909822182854167,1.5659050634736034,1.702076247422715,1.6849596002911753,1.1932403441760346,1.394889683668382
Mueang Samut Sakhon,TH7401,2017,1.1244859010823767,1.124233906343573,1.2991076266956871,,1.146943724762674,1.549553492712262,1.1491697118701332,1.0798978370761987,1.146427659318569
