admin2Name,admin2Pcod,Year,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,F_SM
Kut Bak,TH4703,2017,108.59533437014,224.19996111975118,255.80342146189736,255.80342146189736,255.80342146189736,239.09937791601865,175.84167962674965,126.82935458786936,205.2469965007776
Phanna Nikhom,TH4704,2017,117.36079598871827,234.37651206518328,255.3745220933876,255.3745220933876,255.3745220933876,237.05905672203076,175.89507991225318,128.45990285177058,207.40936422751489
Phang Khon,TH4705,2017,113.78365105008083,232.0926332794831,238.41864297253642,238.41864297253642,238.41864297253642,222.85392568659134,161.18688206785143,114.19760904684979,194.92132875605822
Waritchaphum,TH4706,2017,103.91090656477942,216.88464744703015,239.06043765196242,239.06043765196242,239.06043765196242,224.47724904480722,162.15679055227508,114.24782910732891,192.3573419590135
Nikhom Nam Un,TH4707,2017,105.15486018641813,216.28122503328896,252.63288948069246,252.63288948069246,252.63288948069246,236.359121171771,174.04074567243677,125.31944074567247,201.8817576564581
Wanon Niwat,TH4708,2017,149.84784614117447,247.31793921423275,247.31793921423275,247.31793921423275,247.31793921423275,240.59648299151647,180.90303928836173,132.6680833539247,211.66090107898864
Kham Ta Kla,TH4709,2017,202.14915191740414,278.7808628318584,278.7808628318584,278.7808628318584,278.7808628318584,278.37868731563424,221.5273598820059,172.89800884955756,248.75958241150445
Ban Muang,TH4710,2017,192.11549917264193,239.51908439051297,239.51908439051297,239.51908439051297,239.51908439051297,239.51908439051297,183.603723110866,138.73157749586323,214.00577771649196
Akat Amnuai,TH4711,2017,180.13828810020877,288.8167014613779,288.8167014613779,288.8167014613779,288.8167014613779,280.7887682672235,221.59340292275576,171.36939457202504,251.14458246346553
Sawang Daen Din,TH4712,2017,108.4779019073569,203.61232515894648,204.64151680290647,204.64151680290647,204.64151680290647,197.37782924613975,135.6069028156221,89.37619436875565,168.54696298819252
Song Dao,TH4713,2017,97.73465634075508,210.84824136818332,222.0959341723137,222.0959341723137,222.0959341723137,213.20935785737333,150.71426266537597,102.75582445950307,180.19376815101643
Tao Ngoi,TH4714,2017,111.34379146919433,243.31137440758297,258.89222748815166,258.89222748815166,258.89222748815166,243.33061611374413,179.23118483412327,128.75175355450241,210.3306753554503
Khok Si Suphan,TH4715,2017,108.93076557299099,241.4149786019972,266.3529719448407,266.3529719448407,266.3529719448407,250.50323347598666,186.16823585354263,134.335615786971,215.05146814075133
Charoen Sin,TH4716,2017,133.67418707346448,212.83360096346843,212.83360096346843,212.83360096346843,212.83360096346843,208.8129666800481,148.66459253311922,101.4091328783621,180.4869103773585
Phon Na Kaeo,TH4717,2017,118.81047106325708,246.33087483176314,288.60928667563934,288.60928667563934,288.60928667563934,271.7630955585465,207.52549125168238,155.0297173620458,233.1609387617766
Phu Phan,TH4718,2017,117.97997152349315,241.6221642145231,273.22591362126246,273.22591362126246,273.22591362126246,258.8676317038444,195.17337446606552,143.0076886568581,222.04107142857146
Mueang Nakhon Phanom,TH4801,2017,175.80082678792886,320.66200909466716,320.8934270359652,320.8934270359652,320.8934270359652,308.4602521703183,245.47149648615132,192.20095080611824,275.65947705663496
Pla Pak,TH4802,2017,135.51034605146407,292.7955989352263,302.356628216504,302.356628216504,302.356628216504,286.9977639751553,222.46816326530606,168.59476486246672,251.67956521739129
Tha Uthen,TH4803,2017,261.06060985797825,332.9728905597326,332.9728905597326,332.9728905597326,332.9728905597326,328.9468253968254,272.5433583959899,221.10643274853803,301.94359857978276
Ban Phaeng,TH4804,2017,307.0866206030151,331.9244974874372,331.9244974874372,331.9244974874372,331.9244974874372,331.9244974874372,280.39748743718593,230.29660804020097,309.6754004396985
That Phanom,TH4805,2017,130.27500857044907,293.3603702434008,303.3351388412753,303.3351388412753,303.3351388412753,288.85934178950976,223.8287624271512,168.6796023311622,251.87606273568738
Renu Nakhon,TH4806,2017,129.67641835224472,295.0376911692156,296.31677355698076,296.31677355698076,296.31677355698076,280.1520473606314,214.89644795263942,160.8477059694129,246.19507893438575
Na Kae,TH4807,2017,114.05689952565761,264.5270590771885,280.67979732643386,280.67979732643386,280.67979732643386,265.32986200948693,200.43100474342384,146.38441138421734,229.09607858990947
Si Songkhram,TH4808,2017,230.35328419683495,316.4909603295036,316.4909603295036,316.4909603295036,316.4909603295036,310.31654021244316,252.85137654454792,201.54214177324948,282.62839800563626
Na Wa,TH4809,2017,159.33845011876485,287.01826009501195,287.0926959619953,287.0926959619953,287.0926959619953,273.22384204275534,212.594447743468,162.52416864608077,244.49715706650832
Phon Sawan,TH4810,2017,206.4461553435858,331.88964376095,331.9026085263773,331.9026085263773,331.9026085263773,320.4992797352541,259.93788203231463,207.34485108039715,290.2282046914542
Na Thom,TH4811,2017,250.1094370860927,327.2139072847683,327.2139072847683,327.2139072847683,327.2139072847683,326.8646523178808,271.4087748344371,220.8379139072848,297.25955091059603
Wang Yang,TH4812,2017,114.64043956043956,258.4970879120879,278.865934065934,278.865934065934,278.865934065934,263.1782967032967,198.16296703296706,143.94774725274726,226.87804258241758
Mueang Sukhothai,TH6401,2017,244.52178845512182,277.0946279612946,277.0946279612946,277.0946279612946,277.0946279612946,277.0946279612946,221.86237904571234,184.65175175175176,254.5636323823824
Ban Dan Lan Hoi,TH6402,2017,217.87148646692722,219.49201042118983,219.48831958315247,219.49201042118983,219.49201042118983,219.49201042118983,166.94732957012596,132.97025618758144,201.90567918656825
Khiri Mat,TH6403,2017,244.98942655415877,281.073566385397,281.073566385397,281.073566385397,281.073566385397,281.073566385397,227.49640089547094,190.12097468572415,258.49682925779246
Kong Krailat,TH6404,2017,236.02202560240968,306.51056099397596,308.7187123493976,308.7187123493976,308.7187123493976,308.7187123493976,252.5060052710844,215.11878765060243,280.629028614458
Si Satchanalai,TH6405,2017,238.9183606086707,274.44306632213613,274.44306632213613,274.44306632213613,274.44306632213613,274.44306632213613,219.47052828021816,183.31850416307788,251.74034058283092
Si Samrong,TH6406,2017,237.01937736398023,267.7500290951412,268.20052371254,268.20052371254,268.20052371254,268.20052371254,213.1017748036078,176.95680826302006,245.9537605469887
Sawankhalok,TH6407,2017,253.9143392960185,304.7557126370456,308.749985574149,309.1181477207156,309.1181477207156,309.1181477207156,252.71692152336988,215.12624062319685,282.8272053519908
Si Nakhon,TH6408,2017,291.9066199035511,360.40100832968,376.00903112669886,378.97417799210876,378.97417799210876,378.97417799210876,321.2004384042087,280.6998246383165,345.8924320473476
Thung Saliam,TH6409,2017,199.61145584725546,203.6076372315036,203.6076372315036,203.6076372315036,203.6076372315036,203.6076372315036,149.85458574838052,116.45438117967952,185.49482611660423
Mueang Ratchaburi,TH7001,2017,185.009695652174,174.27121739130442,197.3249782608696,196.38019565217394,266.64495652173923,277.55141304347836,255.65260869565233,196.38441304347828,218.65243478260874
Chom Bueng,TH7002,2017,181.64186400775523,176.62962193601996,198.13932973272404,198.25225038083374,228.7664450907078,229.07325855144728,203.6391220052625,148.9326824539538,195.63432176983804
Suan Phueng,TH7003,2017,184.63824737562754,185.28726608854402,206.56430853491557,213.63039707895936,244.06271109082613,244.06522136010955,218.30246462802367,164.62674577818345,207.6471702418987
Damnoen Saduak,TH7004,2017,217.37161687170476,208.4854569420035,240.46449912126545,245.69279437609842,322.42873462214413,323.5149824253076,297.93189806678384,236.1888400702988,261.5098528119508
Ban Pong,TH7005,2017,201.95176610270116,192.99436034431588,219.75019293558918,222.4138913624221,298.9506678539627,301.47845057880687,272.0317898486198,217.1773226476699,240.84355520926093
Bang Phae,TH7006,2017,220.85513078470828,211.90261569416504,245.18390342052317,252.1048289738431,330.40241448692166,330.40241448692166,302.6334004024145,242.17303822937626,266.9572183098592
Photharam,TH7007,2017,191.4321397756687,181.7441975841242,208.76216566005178,209.65811044003456,273.052329594478,273.83123382226063,247.3889344262295,190.89695858498706,222.0957587359793
Pak Tho,TH7008,2017,165.6385577942736,153.43090137857908,166.67187698833507,162.07953340402975,217.33879109225876,269.16349946977743,251.72004241781548,191.89486744432662,197.2422587486745
