admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Su-Ngai Padi,TH9611,2013,30.77008514404299,30.598923746744813,30.3794133504232,30.39971415201825,30.165119934082053,29.165842183431014,28.343146769205752,26.85630502139823,29.58481878766829,25.70539245605471,25.587731933593773,25.093140665690125,24.791936238606795,24.78368835449221,24.534516398112,24.187841796875023,24.053842611873876,24.842261306912317,27.935660256279863,27.83728656768801,27.462691073947504,27.28202788035077,27.09468972947864,26.37277033064103,25.959155591328965,25.364284601398566,26.913570753889168
Chanae,TH9612,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cho-Airong,TH9613,2013,30.77008514404299,30.598923746744813,30.3794133504232,30.39971415201825,30.165119934082053,29.165842183431014,28.343146769205752,26.85630502139823,29.58481878766829,25.70539245605471,25.587731933593773,25.093140665690125,24.791936238606795,24.78368835449221,24.534516398112,24.187841796875023,24.053842611873876,24.842261306912317,27.935660256279863,27.83728656768801,27.462691073947504,27.28202788035077,27.09468972947864,26.37277033064103,25.959155591328965,25.364284601398566,26.913570753889168
Mueang Pathum Thani,TH1301,2013,35.45836232503257,31.57989145914716,30.968296813964866,31.13326772054039,30.980166625976587,30.074858601888042,31.002392578125022,29.245856969496806,31.30538663677143,26.93715515136721,25.230494181315127,25.014037068684917,24.76208190917971,24.66734771728518,23.780009969075543,23.222133890787784,18.87048133401312,24.060467652713577,30.59143825107153,27.809856012132457,27.561228942871107,27.395040575663266,27.148170089721702,26.58080255720353,26.829687817891454,24.04820626576743,27.245553814040306
Khlong Luang,TH1302,2013,35.12640289984812,31.682108235677106,30.970787441677537,30.839646121554928,30.468044965955972,29.911318298339864,31.028639702691,29.233357011383678,31.15753808464103,26.310804406060136,25.055552161322723,24.84062344699438,24.397901048448375,24.36491500176326,23.3774543660482,22.691038126627628,17.989311071657692,23.628449953615302,30.307493227923377,27.787840983920645,27.386916008843336,27.062266848811422,26.767560732806196,26.348771198696582,26.623480135599788,23.545191240747013,26.97869004716855
Thanyaburi,TH1303,2013,34.65688425699872,31.468288675944034,30.58434702555341,30.379159037272156,30.051472981770857,29.736147054036483,31.051670328776066,29.023873003791383,30.868980295517886,25.94582214355471,24.8732360839844,24.441404724121117,24.17201131184898,24.08997039794924,23.138195292154972,22.19326375325523,16.997680843577687,23.23144806880579,29.980012469821524,27.591873698764406,27.023313903808624,26.743266487121613,26.499241595798082,26.13329821692576,26.430300882127572,23.015663756576256,26.67712137636798
Nong Suea,TH1304,2013,35.02935805762259,31.65646969830551,30.88505396401444,30.619264720987424,30.21160737231929,29.82135355472568,30.970269242922495,29.07058366092984,31.032995033978406,26.187362272651136,24.94429493303655,24.62499634866364,24.206240311375403,24.220291135929276,23.241102639834118,22.402589956036344,17.57093837167705,23.424726996150437,30.22001403526026,27.719260371172894,27.233908132859245,26.860265997898455,26.602457112441858,26.23702569890908,26.446946874076964,23.246677064999545,26.82081941095229
Lat Lum Kaeo,TH1305,2013,35.48215530664699,31.539856438738635,30.97483246359655,31.148769060593594,31.001933802867693,30.022082938900034,30.92560299560776,29.162063230601746,31.282162029694135,26.96753120103589,25.18259957684561,24.981472123765037,24.731540470955675,24.65472380798399,23.785470593805787,23.231616193936087,18.915018349000146,24.056246539666027,30.592702681890636,27.761867591848493,27.54447908250958,27.386569228448305,27.143510600532498,26.555187906166697,26.78629823322824,24.03376839272259,27.225547964668372
Lam Luk Ka,TH1306,2013,34.56738502958903,31.448788047855757,30.569476566151703,30.42041307759083,30.132157284989336,29.788851028833655,31.12241409171343,29.076237450969366,30.890715322211637,25.96024674635669,24.927329951881365,24.539338201539152,24.237610984867473,24.166680347410047,23.19408899290951,22.283978167150796,17.081811742077786,23.298885641774103,29.947272864230353,27.612500312457417,27.061106107445546,26.813897621937308,26.562465879652258,26.184335014691065,26.524510019525188,23.118087008779785,26.728021853589865
Sam Khok,TH1307,2013,35.49716728623437,31.64025561123494,31.05633839229575,31.15403266319864,30.94526995797445,30.089643525126334,31.03189170380945,29.26839464973003,31.335374223700498,26.812598916947692,25.19657223258605,25.027878907467247,24.727974824823907,24.619484321616,23.71038606649113,23.177785341963833,18.82085053073277,24.011691392828578,30.57956395126591,27.819803432634888,27.585913461248662,27.381990343439863,27.09562671476622,26.554070573065943,26.837210780557648,24.00815992037297,27.23279239716901
