admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Tha Mai,TH2203,2017,4.787271157931662,5.642794304125377,3.1906010348503377,5.075271424042808,4.9885714090632085,3.6617315107217814,5.310967369619204,5.042711438717446,4.905337891450512
Pong Nam Ron,TH2204,2017,4.231052403695792,5.100425079617708,4.204217271038402,5.32029911224039,5.207943066798005,3.8522022073134465,5.2893748938813125,5.255828821792332,4.955129565585509
Makham,TH2205,2017,4.418266109318769,5.830869500507939,3.33420743293249,5.488366587764088,5.1385574701566235,4.25428494749325,5.760807027524829,5.295340092447955,5.199506284317307
Laem Sing,TH2206,2017,2.968532712215721,3.0347403788580554,2.9515373351439167,4.002181673198222,3.7284950741888805,2.951018685175622,4.4921455954870115,4.3329587903418,3.774747407048453
Soi Dao,TH2207,2017,3.594037230525906,4.489749574707529,4.39708920462891,4.904158111539358,5.031202365467765,3.5364569134823935,4.9357645666113825,4.66021956742477,4.50995231969824
Kaeng Hang Maeo,TH2208,2017,5.1837689073518645,6.227224478323934,3.7117682314696827,6.062281049971088,5.442810255638399,4.067712591008119,5.474160012193717,5.079637029967175,5.376749297681205
Na Yai Am,TH2209,2017,4.3755301417934485,5.299057923685772,3.948995192243458,5.373501900088911,4.692419149139687,3.7836665292388454,5.083183364551411,4.64229833519234,4.7513279317614225
Khao Khitchakut,TH2210,2017,5.213176550616951,6.124552512400992,4.050463740311595,5.881835175825063,5.803971049700722,3.9551600657106545,5.524037108715856,5.47364197859858,5.290391295192006
Mueang Surin,TH3201,2017,1.4798443421395882,1.955203012900774,1.905539697737326,3.254054759713598,3.6786466715399495,3.5701196449052333,2.4036301085477825,2.074802860655248,2.5947924764295447
Chumphon Buri,TH3202,2017,1.2825558950266438,1.641705994878931,2.0871163491067097,3.1679914457552347,3.7103369462087943,3.0120196049814356,2.0807406777108777,1.9411168765571232,2.3913239525888397
Tha Tum,TH3203,2017,1.4917903142225644,1.8686857856325219,2.1941541349217344,3.4132102449978623,3.569907062353932,3.6213052659375418,2.63462791175608,2.140649175643486,2.6767818768394065
Chom Phra,TH3204,2017,1.521938547534258,2.126107583743422,1.9361785714241513,3.4782808186044627,4.074988765464241,3.729448709730046,2.599540867413158,2.202429365869938,2.7598619785822915
Prasat,TH3205,2017,1.7917445337484565,2.189914670023184,2.2292708578988987,3.3418242077154354,3.170514604361251,3.5792623198528597,2.606604513347118,2.192098949726346,2.6429310695197303
Kap Choeng,TH3206,2017,2.119355544241862,2.833388159779572,2.6129133532470807,3.3413345922250115,3.209982274403575,3.726527424590528,3.0064781597662718,2.509260269349325,2.9344229281250818
Rattanaburi,TH3207,2017,1.2233115471445313,2.1467670115724755,2.0487515430742507,2.5155873975358385,3.378530488810694,3.495782004766657,2.5548156399521282,1.9724530991065696,2.4866345297097183
Sanom,TH3208,2017,1.4349620519112942,2.1859170484767736,2.046899365458684,2.9480182210918207,3.476574655822537,3.840520348203131,2.517962681185963,2.258937864389626,2.6239204894983077
Sikhoraphum,TH3209,2017,1.4226927950850965,1.9041851476132008,2.0505096376985357,2.6577777568247183,3.866509544201593,3.595066180788255,2.1034237875772783,1.974160394186488,2.423404900296522
Sangkha,TH3210,2017,1.8468049807092441,2.5230901872035223,2.604250425760783,3.1366185635668558,3.1185682850969845,3.6745194040035707,2.7567362695174866,2.4228013111721856,2.8101062198733935
Lamduan,TH3211,2017,1.471164105540893,2.072430207527294,2.18365992467656,3.4501200812486967,3.5629631738345107,3.2117125937372375,1.8344901779260239,2.07640256183628,2.457265739078048
Samrong Thap,TH3212,2017,1.4646052333077053,1.7882058789785558,1.8015321238934643,1.6626615628807278,3.044876939039225,3.6058243406960564,2.200248864992363,1.9184835166186975,2.152562777141106
Buachet,TH3213,2017,2.3447503159225698,3.2444903314055646,2.9627878117348043,3.5705733074436243,3.5236952945691784,3.9973226962724273,3.272767729995169,2.7795460642422274,3.2762462552512224
Phanom Dong Rak,TH3214,2017,2.5607188030397907,3.076418046559963,2.566477306216322,3.4425516383895847,3.555581773933083,4.04054700181993,3.399631977966042,2.9126428319747495,3.2440062954753497
Si Narong,TH3215,2017,1.898455092138684,2.325940710433343,2.6296558547209727,3.5501604874600514,3.484312703708732,3.82932679038006,2.5182270750711213,2.3502508978774515,2.8078160963159977
Khwao Sin Rin,TH3216,2017,1.2069802662825355,2.0122631887522022,1.9787473885880784,3.7648679602120296,4.300833074769222,3.8007568788390094,2.2365653972821216,1.8857672700744927,2.705658755564649
Non Narai,TH3217,2017,1.539556171750552,2.3745565341560764,2.1063602384566877,1.8331774353973889,3.5087351436481753,4.089903290101888,2.860032369931024,2.187237801171692,2.5923579250487476
Mueang Si Sa Ket,TH3301,2017,1.5789045808485622,1.8990494464584968,2.0161132162749635,3.0521432838714913,2.7891017569933565,3.8478722713062172,2.609596588778485,2.2212526130905874,2.5244910402789658
Yang Chum Noi,TH3302,2017,1.612992270484219,2.069050830597772,1.9741741041520215,3.086785578813003,2.601045404660702,3.259336817193742,2.3844107142265156,2.0991836321182222,2.3981655624382743
Kanthararom,TH3303,2017,1.5747456144153884,2.22321244498356,2.0383723448028377,3.481715570490382,3.1446911667609223,3.8480180250083045,2.910308955846075,2.421541919685173,2.8283511276789066
Kantharalak,TH3304,2017,2.9173155697120117,3.146123229146274,2.9072310663952634,3.7043194128113215,4.409424535308977,5.0825809264323585,3.887628040336973,3.2471173726450044,3.745607246960303
Khukhan,TH3305,2017,1.6449992213536788,1.6958865323844992,1.9507845349874728,2.914966730661568,3.057123970298188,3.373516253052262,2.0236972886439992,2.1470973209770743,2.370849303955271
Phrai Bueng,TH3306,2017,1.3271227643724428,1.470089445058519,2.0442755299022006,2.6892172958670386,3.440702647470315,3.266352691085021,2.089771604384288,2.0668433311989642,2.2508305209965744
Prang Ku,TH3307,2017,1.5535628181907157,1.7547374052309146,2.2018321720025322,2.848729297177857,3.5634419675790596,3.547022526504888,1.9184327648323123,2.0297386509307405,2.4449161565054256
Khun Han,TH3308,2017,2.3303292951111034,2.7867849952160815,3.602312843421967,3.3156873657699437,3.869552182161692,4.6865416115781,3.7445267340130166,2.994990789153132,3.375026568596589
Rasi Salai,TH3309,2017,1.494565961150517,1.9588629229243377,1.9680861445478992,2.8465832226748087,2.798704350567201,3.346166650335468,2.284265650468041,1.9819574042038925,2.3583545207334757
Uthumphon Phisai,TH3310,2017,1.6380373131847548,1.915935785516419,2.0752182837198774,2.248313703794068,3.064713332593388,3.650471948240793,2.416679572962615,2.024444830589295,2.337515287565788
Bueng Bun,TH3311,2017,1.626858385805032,2.360679922431866,2.252359934116762,2.962413490930792,3.9332496137344215,3.9653034858913876,2.8987564174089515,2.1585965892132184,2.7481177744335215
Huai Thap Than,TH3312,2017,1.7047933682216776,2.0856339165313424,1.74055392430776,1.6869275816676903,3.038402867738419,3.529105988788536,2.430934627131923,2.0276541542990882,2.314808942926737
Non Khun,TH3313,2017,2.0165558153725804,2.1804655478443666,1.861833740625607,3.5197375845159313,4.279064929805291,4.017054700201276,2.7957021582889543,2.365555739547688,3.01300821642254
Si Rattana,TH3314,2017,1.6760604700023076,1.821154755587145,2.1800073102946684,3.088658919792913,3.4234353552931154,3.9815296252047885,2.8100758644308,2.3428299724470385,2.705636367066116
Nam Kliang,TH3315,2017,1.8501823847465257,2.226910208784157,2.0248558924301414,3.317653460747225,3.369366686365102,4.31926319473287,2.997516453627111,2.4847385046286607,2.9462976973560773
Wang Hin,TH3316,2017,1.7219544267851257,1.8551435026295728,1.847219369150184,2.1953837124560818,2.925699166303907,3.33070159397932,2.4010801945591407,2.314927949154309,2.328559104259615
Phu Sing,TH3317,2017,2.110129812795939,2.7082590599458167,2.1784269751580787,3.0752825816269156,3.23336520223495,3.8909315626293695,3.035095745574091,2.504761537885686,3.012768042850756
Mueang Chan,TH3318,2017,1.9293584271100983,2.0789845413832753,2.0693592160371095,1.3748910650386408,3.4113384706917023,3.8131952041187236,2.555329380845436,2.162157727472471,2.4315508947648676
Benchalak,TH3319,2017,2.38435853341281,2.562962251823535,2.6821480671134266,3.683911722300817,4.112316096877477,4.301530751978583,3.1104204089137295,2.591481429145897,3.2579034225668226
Phayu,TH3320,2017,1.6057847545291044,1.6613514735030979,2.1182288569819,2.8840473765875947,3.38076369876661,3.5597814282625055,2.386854163019665,2.0926041877545942,2.3709012218475687
Pho Si Suwan,TH3321,2017,1.7179149254501394,2.119601544999118,1.9641522989762268,1.8863311948116932,3.4848080239752752,3.806414819112622,2.745879716878542,2.189337111710806,2.4740055003854744
Sila Lat,TH3322,2017,1.1852495275487211,1.8824843727546994,1.9124744764840598,3.256398134091427,2.6702090987288307,3.4897839338840697,2.571752105827442,1.9086977638026534,2.435013933072865
Mueang Udon Thani,TH4101,2017,2.676280670198165,2.1894512780431366,2.9688665621005454,3.028898806600007,,3.7810065152250787,3.139134774092743,2.726312567329159,2.927353682612618
Kut Chap,TH4102,2017,3.1195169206283104,2.489911482610888,2.1605534914613154,3.4398509646970763,,4.12093861518553,2.8644214157758783,2.7082242438126487,3.1297604523680596
Nong Wua So,TH4103,2017,2.4667456985398224,2.742491470731609,,3.60409560839944,,4.077277656564141,3.262082878911435,2.89450908149569,3.1589538041801672
Kumphawapi,TH4104,2017,1.881997216614033,2.230763712250113,3.873440550103052,2.835084097398093,,3.180190104343722,2.834928136130069,2.383592694324061,2.5406561624156625
Non Sa-At,TH4105,2017,1.5757800266265716,2.358012723663333,3.9584964518105474,3.1953678533990133,,3.0640454130915726,2.8793591584327967,2.4108872237363177,2.5552166564982546
Nong Han,TH4106,2017,2.1229442562898115,2.0131040391269477,,3.147961143506588,,3.8036499773323076,3.057242167051728,2.6028327933734867,2.7889920654786384
Thung Fon,TH4107,2017,2.5199553581066065,1.9703405654673893,,3.3250125153923173,,3.9192430888588956,2.858736188583051,2.5775994618924867,2.8695704660916554
Chai Wan,TH4108,2017,2.0063761006260004,2.223401331224311,,3.314628301705141,,3.304887195686834,2.9243557206269517,2.5976498362038707,2.755458585695786
Si That,TH4109,2017,2.1852282571809294,2.6346774315803105,,3.4017625342666578,,3.098930973364244,2.823096315283541,2.4975531178208072,2.7885500435773363
