admin2Name,admin2Pcod,Year,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
Den Chai,TH5405,2014,0.32570608976529025,0.34269510383173096,0.5019578332912733,0.5983044494242457,0.5913909206727569,0.5530815379665796,0.3919409420448349,0.30873511552767047,0.4016048551187829
Song,TH5406,2014,0.3477367364498873,0.4522559157488029,0.403733176404851,0.5349571798073434,0.6323081991092996,0.4980413114343204,0.44460363681312887,0.3235991263459754,0.43743087943564724
Wang Chin,TH5407,2014,0.4627976967360434,0.5255385514859475,0.4589530397149065,0.5473191719946395,0.5289853554733994,0.6197157149690199,0.5105558841076867,0.3870994942266022,0.4946757102985416
Nong Muang Khai,TH5408,2014,0.3267806789792118,0.32519764254611766,0.39385497672047104,0.49045743039178036,0.6670058418052195,0.49508569139353964,0.3897508900922625,0.3022499609983173,0.41736919697820996
Mueang Nan,TH5501,2014,0.38629768773643164,0.41475652226322113,0.6080973795279855,0.5107875017922279,,0.5244650661374046,0.4408503786527596,0.3119128905770777,0.42787664938758724
Mae Charim,TH5502,2014,0.48691355717056967,0.44574474783221585,0.4213062548894461,0.5125566683421653,0.5989178907194447,0.5712107346500783,0.47998056968395514,0.3516792607630995,0.47223180099503465
Ban Luang,TH5503,2014,0.4337613109860644,0.479441694863219,,0.48683110576557437,0.5809846235377245,0.5311684462332382,0.4598290850632815,0.3417861673542994,0.45225044092084044
Na Noi,TH5504,2014,0.3663825994212511,0.4328666604543109,0.36957274304109183,0.6018890567523536,0.5514475736143626,0.4847796642818266,0.40601673582170433,0.32038191916726416,0.4013290795396422
Pua,TH5505,2014,0.439876275937843,0.37835711798463717,0.3635804664844256,0.44654582624309636,0.6650667131196322,0.5198214963898706,0.4150907797832875,0.35438506604325726,0.422881298306681
Tha Wang Pha,TH5506,2014,0.3791381340499517,0.37464562830928744,0.3919889065994223,0.4559836746940059,0.5719219661484964,0.4998461646234292,0.4204938206031163,0.35160311149600604,0.4109711180775772
Wiang Sa,TH5507,2014,0.3596627033234593,0.35524031464576017,0.3282289617212593,0.5186185873088042,0.4969972342572281,0.5054244309831282,0.42905559968137064,0.3343737138937759,0.4096445585534938
Thung Chang,TH5508,2014,0.4102804820751914,0.42641813623029245,,0.49610143798045814,0.5153767360075631,0.4967215779695326,0.4233859864189986,0.3898164253248097,0.4420617334543934
Chiang Klang,TH5509,2014,0.41048539379458865,0.3904401994110322,0.3431169592295491,0.4605895751971363,0.6890043987136453,0.48975603185805167,0.40201706404228926,0.38369761973531763,0.42256956802494783
Na Muen,TH5510,2014,0.3221287371579558,0.40200156480509347,0.34752606865376356,,0.46548911427479045,0.5374106204911092,0.43657054634859016,0.2943756576799697,0.3958920155902694
Santi Suk,TH5511,2014,0.3976361415411483,0.34167671242212544,0.4171997793808697,0.5005933840354886,0.7184964104022313,0.5641284710481339,0.45047292473169376,0.34007714774782155,0.4288413649170006
