admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Muang Sam Sip,TH3414,2012,32.47250459287127,30.89291876330555,30.63790328115574,29.99016764483116,29.753699578369993,30.356983038062353,31.398304791445163,31.302157429960726,30.850579890000237,25.02622940479558,25.09357282526271,24.38799125863054,24.075875466585988,23.635056199945243,22.62443445618342,23.01848968975011,21.124782073204706,23.62330392179479,28.121739343810642,27.507849182645764,26.99843370916548,26.470227982571505,26.08547012940333,26.188344674813095,26.95778350400981,25.906453508817133,26.779537754404586
Warin Chamrap,TH3415,2012,32.469278636650174,30.907386266959687,30.681052220478744,30.24571624377935,29.788957710384235,30.319943554343187,31.369066603338776,31.409058963326295,30.898807524907554,25.04835239384746,25.036217290657206,24.42175457786769,24.201562912045066,23.657360393680342,22.651978457109376,23.18146501927596,21.388266729067777,23.69836972169386,28.117341059888883,27.495888128281756,26.90652703925048,26.57987245798742,26.071945052512724,26.205632831454096,27.064665261972763,26.254520549790126,26.83704904764228
Phibun Mangsahan,TH3419,2012,32.03836872989127,30.451065845383805,30.178364464645828,29.82109656520431,29.598997205672354,30.223510154548954,31.313621707774328,31.512518271610315,30.642192868091392,25.078971934656405,24.904871673463187,24.337929407695146,24.127105510406643,23.790139961876967,22.89937113347361,23.49342742484994,21.769316664929732,23.80014171391895,27.898479799625854,27.186519041386113,26.616785064449616,26.338122234963677,26.029090657499754,26.24486856566789,27.123891796676887,26.470411494220244,26.738521081811253
Tan Sum,TH3420,2012,32.37274425843075,30.678619650764965,30.372527903661883,29.97197424668106,29.753053826819734,30.416451752577125,31.450574237982106,31.62952752168495,30.830684174825322,25.010446621773895,24.870412884134197,24.23883430597821,23.961140891533557,23.662200996738406,22.71098575717252,23.199461029742796,21.50043452013357,23.644239625900894,28.014180718436368,27.242932419298135,26.695557149854178,26.326087071256246,26.038825123900796,26.214036375769695,27.00036561086236,26.254246911846565,26.723278922653044
Pho Sai,TH3421,2012,31.95290599162452,30.191671509912585,29.941390209037746,29.46588482499936,29.487914027915878,30.69296909620784,31.82193066435561,31.538289842653032,30.636619520838323,24.75695765737264,24.60971286769105,23.961643672972144,23.633774072373114,23.387285926333444,22.47847936782137,23.011495517396437,21.049650874928677,23.361124994611107,27.662086731996958,26.835544129913952,26.366150402141873,25.92190532399384,25.80330573874857,26.18787344614158,26.918546760032974,25.73704292850391,26.429056932684208
Samrong,TH3422,2012,32.412244390911766,30.902565899870414,30.703035839993547,30.27207819527158,29.7545235232488,30.215065212756844,31.149666323047494,31.145085635373313,30.819283127559224,24.981535264788526,24.975785563650327,24.38199615603334,24.172147819035402,23.565646957678318,22.539552732128328,23.059034709657407,21.189464557992086,23.608145470120466,28.052541226905614,27.464023584627196,26.879798677674607,26.54757005128557,25.987783610910178,26.099809373882916,26.915375643199063,26.08683966992999,26.754217729801887
Don Mot Daeng,TH3424,2012,32.45068425499939,30.79575468863095,30.47062707006535,30.03194811073167,29.743979359857242,30.363533684585725,31.319283639348583,31.43753189542868,30.82666783795595,25.018585784915146,24.955116143723064,24.291310775450807,24.014622369309006,23.65403616685696,22.690975452266454,23.115058428191432,21.4025843791673,23.642786187485026,28.073100063448504,27.36172284900821,26.78865044814546,26.40505446750093,26.05659593426094,26.189746196374003,26.93174107966627,26.12702075382068,26.741703974028127
Sirindhorn,TH3425,2012,31.528074274263865,29.990558963131615,29.70366991249516,29.421463233980806,29.347966254428375,30.02596319223381,31.276198422650776,31.559715257973767,30.356701188894775,24.961018700947765,24.698558681207324,24.20783633211477,24.016870738107944,23.78462747350918,22.93177582249499,23.6166442956966,21.923304752498503,23.767579599572137,27.611407617562445,26.83531373336377,26.3275014301537,26.08799704145734,25.90518742273727,26.15167602197779,27.153410680861732,26.581873684035628,26.581795954018702
Thung Si Udom,TH3426,2012,32.102781782276,30.574109749812443,30.354708693417216,29.99573516747515,29.506880642609886,29.96986958959084,30.93423068956061,31.00588880182301,30.555525639570646,24.800482256354442,24.780917831676216,24.187361760673397,24.063049775937372,23.4257780990699,22.381911521528703,22.973519393744184,21.055021478954913,23.45850526474239,27.81433361571339,27.233649565517947,26.597415884386997,26.352996037130158,25.789262622029753,25.884857324856362,26.760863016358496,26.05956064207764,26.561617338508846
Na Yia,TH3429,2012,32.2940007840135,30.715992320945627,30.464239646692498,30.055539420515863,29.640183890526846,30.181214505223036,31.18327620919739,31.312835327288244,30.730910263050376,24.96144318856432,24.888038360045314,24.263732338333917,24.074636875476237,23.584775885185106,22.587115460168405,23.154114503420928,21.353596761743376,23.608431671617204,27.954665133491417,27.328121278313077,26.695853130983604,26.41299972470476,25.948052074489315,26.097818233292106,26.93198464240088,26.211059988185507,26.697569275732583
Na Tan,TH3430,2012,31.899878084135132,30.17923810345005,29.953137141260626,29.419036765482254,29.523475897997297,30.88330127014513,32.068660255958314,31.57182582704893,30.687319168184715,24.76288520776703,24.65734427660363,24.01437920208637,23.685586454676507,23.464696710959267,22.512964289215812,23.08034100477725,20.970440747115433,23.393579736650164,27.650534913240346,26.87168507046172,26.426524716227462,25.955111468523423,25.88811525512931,26.31478378617446,27.037902466638812,25.648801822380506,26.474182437347007
Lao Suea Kok,TH3431,2012,32.42188354522692,30.757247453035387,30.441615663979967,29.951572598812106,29.658828270953656,30.292413846075846,31.29659201211978,31.293674243113532,30.764228454164645,24.97787467655335,24.991231525808164,24.30879311676765,24.025422115602378,23.616081274649968,22.61548500245323,23.02710398798406,21.265879092009193,23.6034838489785,28.06527757919494,27.384954263315514,26.821677441988616,26.39731559415565,26.029328942414097,26.135520685045446,26.905723595120126,25.98341338274151,26.71540143549699
Sawang Wirawong,TH3432,2012,32.44559587952595,30.803466172890182,30.537463368419132,30.12863743523145,29.780877101413186,30.344760345773622,31.36065954673743,31.564147877306947,30.87070096591224,25.061021880615346,24.962277532099066,24.333791509149847,24.096804446715286,23.708412072879774,22.746436368018106,23.24191592501613,21.541158191978692,23.71147724080903,28.06817622970727,27.38010701768316,26.791316950646213,26.46643411376361,26.085247849839135,26.230036004886895,27.018735778214342,26.326583185472167,26.795829641276597
