admin2Name,admin2Pcod,Year,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
Bueng Na Rang,TH6610,2017,0.3380853999893687,0.3834256396643627,,0.4712906082552463,0.6543266993573512,0.3282682523041375,0.39990352436118237,0.3818676826926559,0.4300099134544977
Dong Charoen,TH6611,2017,0.19976484909839853,0.3167330452732224,,0.4770864031242171,0.34629373278807735,0.43551372159860846,0.3730076813348493,0.3214351491179501,0.34491734452007927
Wachirabarami,TH6612,2017,0.260836584243784,0.30498064215990783,,0.4234970683851129,0.6626439008968034,0.33802112714421423,0.31980427400608685,0.29340088759583155,0.37077173725691803
Mueang Nakhon Pathom,TH7301,2017,0.4291573552618591,0.48031071131267433,0.4604748042250399,0.5028984684511383,0.4969711188884699,0.4734443303009611,0.4709241396155748,0.4126076739834359,0.4596514098841821
Kamphaeng Saen,TH7302,2017,0.4186022036156304,0.47107659237455685,0.42643569378211554,0.48008847977661806,0.5260469167287668,0.5406755989531465,0.5201877151950022,0.44927574802730647,0.48344087836847427
Nakhon Chai Si,TH7303,2017,0.36585653407079166,0.4077299232302808,0.4411157237805225,0.42480772728233235,0.3880291701539742,0.4220221620576176,0.3469746773251877,0.3196660186556744,0.3767291684737301
Don Tum,TH7304,2017,0.3618191679827113,0.4341880461069581,0.40989800328953235,0.3845947676265017,0.4074192086755566,0.34828498461424967,0.3461621171639414,0.3077831684594834,0.3715249931228718
Bang Len,TH7305,2017,0.38888526891502234,0.3987455501322613,0.43247856300617427,0.3492143982717535,0.36657956696220495,0.30702548994366435,0.2607314918886755,0.28122056709581733,0.339539852717976
Sam Phran,TH7306,2017,0.4162334117845927,0.4353913641247563,0.4571391426814318,0.5122811634779815,0.42248773146017266,0.4243090716239975,0.41161976504831965,0.38063128392153367,0.4144659281566446
Phutthamonthon,TH7307,2017,0.3225841260006726,0.3987268180065674,0.4655264245925382,0.44857567405267884,0.36559547093103145,0.3564349473378367,0.3022245962582357,0.31655566409555075,0.35786032271748386
Mueang Krabi,TH8101,2017,0.6184492207792367,0.6166545591927413,0.5999571985173611,0.6238159657784288,0.5952958516411648,0.5389728059750579,0.5692721535049428,0.5793001199751114,0.5950145394593188
Khao Phanom,TH8102,2017,0.638438345364784,0.6568350248121059,0.6358986703005803,0.6868810232356855,0.6756000336476525,0.6295586664411024,0.6054888559158256,0.6215566291281771,0.6414465008461675
Ko Lanta,TH8103,2017,0.5670514377831645,0.6327374849154168,0.5440685781041856,0.6379572632846445,0.5503295328271993,0.5835302144590229,0.57595438158984,0.5618611659107925,0.5758915529400281
Khlong Thom,TH8104,2017,0.6579442152887408,0.6287077201212593,0.5937706652531068,0.6382417492915823,0.6297292163096292,0.620383256544029,0.5976682923328567,0.5861977882439475,0.611910036183594
Ao Luek,TH8105,2017,0.6681635155213232,0.641853305831509,0.6197208592202097,0.5823842684292556,0.6324532803606576,0.6042596899998315,0.5703585699049973,0.611433806827578,0.6282855445930002
Plai Phraya,TH8106,2017,0.6580954598568353,0.6408163922916144,0.6330543652361686,0.6771678582803174,0.6246870757374295,0.5199993932233713,0.6038540316140387,0.6630820748758005,0.639246048179373
Lam Thap,TH8107,2017,0.6308108229084088,0.659162105406188,0.6494958706935411,0.31283374356496757,0.6300728906985354,0.610482931351683,0.6051089472115521,0.5674615854154429,0.6197059110896824
Nuea Khlong,TH8108,2017,0.6140384998369816,0.6209574369754276,0.5967577047225604,0.6736839205716388,0.6164465862718642,0.6154863082055033,0.5633949629374538,0.5730111764011129,0.6009160145843407
Mueang Phuket,TH8301,2017,0.4614370315485721,0.4968946425212767,0.4830726862709626,0.39760328837892434,0.37081399635389845,0.443846116829333,0.4649878548133566,0.45634560849340255,0.45819801238796315
Kathu,TH8302,2017,0.5287883707976608,0.5522951515847605,0.5271994418067959,0.509285585870328,0.513323249609212,0.4739083673171191,0.47378641519526066,0.46025002509321433,0.5009776301673337
Thalang,TH8303,2017,0.5513243188337913,0.5771588117694455,0.5479057207622404,0.5070623942015752,0.5139398041718791,0.5146169789033121,0.5149695069301403,0.4998222053321294,0.5303100402902846
Mueang Phatthalung,TH9301,2017,0.4928069226011318,0.5007019440111866,0.4579201492032884,0.5003919688162718,0.5167703383898186,0.5198441343155229,0.45084230290396515,0.3495216007715762,0.4766843988960301
