admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Hankha,TH1806,2016,107.45703030303031,80.7731060606061,91.99812121212122,111.65880303030309,103.60506060606063,119.4435151515152,112.16871212121215,72.636,99.96754356060609,163.72937878787883,125.47936363636369,115.88106060606069,112.54375757575762,103.60506060606063,119.4435151515152,112.16871212121215,116.58406060606062,121.17936363636366
Nong Mamong,TH1807,2016,124.33894289185908,96.27685297691373,102.803432563791,111.38289793438638,103.35546780072902,119.14301336573514,112.23086269744834,72.97004860267313,105.312689854192,165.38007290400972,125.296780072904,115.68207776427704,111.38289793438638,103.35546780072902,119.14301336573514,112.23086269744834,114.9411300121507,120.92653781895503
Noen Kham,TH1808,2016,111.3972240154939,81.69599741768884,91.11439638476439,110.04377017430603,102.62240154938672,118.35723047127183,112.85755326016788,73.99096191091029,100.25994189799874,162.00158166559075,123.59709489993548,114.0812459651388,111.62320852162686,102.62240154938672,118.35723047127183,112.85755326016788,116.61649451258883,120.2196013557134
Mueang Chon Buri,TH2001,2016,,,,,,,,,,,,,,,,,,
Ban Bueng,TH2002,2016,92.73266022827039,115.04879280070237,115.56643985952591,124.42758999122033,108.99668568920106,118.51593503072871,103.26459613696227,75.70915276558385,106.78273156277434,153.55169007901665,122.44198858647935,121.33272607550481,125.77317822651447,108.99668568920106,118.51593503072871,113.52890693590871,122.63762071992979,123.34734141791047
Nong Yai,TH2003,2016,96.11356255969439,117.78027698185294,116.73667621776505,121.59106972301815,107.67177650429801,117.52263610315187,100.09035339063995,73.94541547277937,106.43147086914996,150.45319961795607,120.65596943648522,118.10601719197709,122.85487106017192,107.67177650429801,117.52263610315187,110.03099331423115,119.32311365807072,120.82732211079276
Bang Lamung,TH2004,2016,88.34682721712538,104.17752293577985,100.80646024464836,101.31926605504589,108.88512996941897,119.21613149847099,116.88207186544345,82.16743119266054,102.72510512232417,154.4229357798165,123.42805810397554,121.3066513761468,127.1377293577982,108.88512996941897,119.21613149847099,117.36865443425077,125.43195718654437,124.64965596330279
Phan Thong,TH2005,2016,92.42441471571908,119.78795986622076,124.02207357859535,129.38260869565218,111.54214046822743,120.49364548494985,102.63043478260873,76.76989966555186,109.63164715719064,157.54414715719065,126.47257525083616,125.85852842809368,129.38260869565218,111.54214046822743,120.49364548494985,118.97926421404685,128.60635451505019,127.35990802675585
Phanat Nikhom,TH2006,2016,93.8184982275218,122.72584595552688,123.63947792458913,127.13106670963585,110.42929423138898,118.91060264260393,99.3703834998389,74.27180148243636,108.78712133419275,155.14547212375126,123.84415082178538,123.84344183048665,127.13106670963585,110.42929423138898,118.91060264260393,113.93161456654849,123.45775056397036,124.58667418627137
Si Racha,TH2007,2016,89.50687022900765,106.31908396946568,105.44503816793895,114.97938931297709,109.07175572519084,119.47862595419849,111.48854961832063,79.8702290076336,104.51994274809162,154.65114503816795,123.77328244274811,122.0961832061069,126.73282442748095,109.07175572519084,119.47862595419849,117.5412213740458,126.32442748091604,124.95868320610691
Ko Si Chang,TH2008,2016,,,,,,,,,,,,,,,,,,
Sattahip,TH2009,2016,87.98015267175575,103.93835877862597,100.52041984732827,91.07137404580156,108.97404580152673,120.71927480916031,119.33396946564886,84.8145038167939,102.16901240458019,155.2272900763359,124.51660305343515,122.23587786259543,128.5492366412214,108.97404580152673,120.71927480916031,119.33396946564886,128.44980916030536,126.00076335877867
Bo Thong,TH2010,2016,97.734903321765,121.13019335647002,118.99643034209222,123.2306643529995,108.41955875061974,117.63619236489839,97.42887952404563,72.37119484382748,107.11850210708972,150.98415964303422,121.13391175012397,118.99643034209222,123.2306643529995,108.41955875061974,117.63619236489839,109.2550818046604,118.24908279623206,120.98813522558255
Ko Chan,TH2011,2016,95.86764492753625,122.0534782608696,120.76503623188408,124.53184782608696,109.15782608695653,117.96500000000003,97.45576086956524,72.58623188405798,107.54785326086959,152.29525362318842,122.0534782608696,120.76503623188408,124.53184782608696,109.15782608695653,117.96500000000003,110.15807971014493,119.57713768115943,122.06295742753625
Mueang Bueng Kan,TH3801,2016,151.11624428749482,137.01341919401744,125.72924802658913,120.01645201495641,105.12683838803494,108.50319900290819,91.99389281262985,58.35089322808476,112.23127336933949,151.11624428749482,137.01341919401744,125.72924802658913,120.01645201495641,105.12683838803494,115.76609887827175,96.66090569173247,91.22181138346492,117.83137723307027
Phon Charoen,TH3802,2016,150.7263366336634,137.46409240924095,128.109900990099,122.74389438943896,106.1354455445545,106.33861386138616,84.12686468646866,56.92204620462046,111.570899339934,150.7263366336634,137.46409240924095,128.109900990099,122.74389438943896,106.1354455445545,117.0841584158416,99.74277227722776,94.89016501650165,119.61209570957097
So Phisai,TH3803,2016,149.94655281467425,136.88355471220746,127.52280202403543,121.60332068311197,105.17343453510436,106.97827324478178,85.4798228969007,56.905028462998104,111.31159867172678,149.94655281467425,136.88355471220746,127.52280202403543,121.60332068311197,105.17343453510436,116.50404807084126,98.94848197343454,93.84307400379507,118.80315860215055
Seka,TH3804,2016,152.67414352686626,137.93479985575195,128.58413270825824,122.62874143526872,107.57857915614862,105.58517850703213,82.14475297511723,57.780851063829815,111.86389740353412,152.67414352686626,137.93479985575195,128.58413270825824,122.62874143526872,107.57857915614862,117.46105301117926,101.26620988099535,97.05686981608369,120.64806617381903
Pak Khat,TH3805,2016,151.0063262195122,135.91295731707316,125.59695121951219,119.65381097560974,103.96455792682926,107.5764481707317,88.97721036585367,57.66166158536585,111.29374047256096,151.0063262195122,135.91295731707316,125.59695121951219,119.65381097560974,103.96455792682926,116.24923780487804,97.86600609756098,92.59733231707317,117.8558974847561
Bueng Khong Long,TH3806,2016,153.08612716763008,137.30269749518305,126.98195247270394,121.13705844572898,106.53089274245345,106.13879254977522,83.2282594733462,57.917983301220296,111.54047045600515,153.08612716763008,137.30269749518305,126.98195247270394,121.13705844572898,106.53089274245345,116.4885035324342,99.42543352601157,95.6583172768144,119.57637283236996
Si Wilai,TH3807,2016,150.95943396226417,138.26132075471702,127.83553459119499,121.64245283018869,105.72861635220126,107.15849056603774,87.69528301886793,58.1,112.17264150943397,150.95943396226417,138.26132075471702,127.83553459119499,121.64245283018869,105.72861635220126,116.48710691823901,98.39496855345912,93.50880503144656,119.10227987421385
Bung Khla,TH3808,2016,152.33240740740743,137.87932098765432,125.8882716049383,120.07932098765434,106.51172839506174,106.71172839506174,87.13518518518521,57.12345679012347,111.70767746913582,152.33240740740743,137.87932098765432,125.8882716049383,120.07932098765434,106.51172839506174,115.13518518518521,96.09382716049384,91.67037037037038,118.19880401234572
Mueang Sakon Nakhon,TH4701,2016,161.73350659229214,137.31703853955378,130.37820740365115,123.97436612576067,110.6486435091278,102.86128296146047,76.07915821501015,59.3318331643002,112.79050456389454,161.73350659229214,137.31703853955378,130.37820740365115,123.97436612576067,110.6486435091278,122.09173427991888,110.1210319472617,110.17685091277895,125.80517241379313
Kusuman,TH4702,2016,160.07759476534298,138.12786552346572,129.74156137184121,122.38601083032493,109.54722472924189,101.24311823104694,77.1880640794224,60.49921028880867,112.35133122743683,160.07759476534298,138.12786552346572,129.74156137184121,122.38601083032493,109.54722472924189,119.90397111913359,109.63242328519854,109.57342057761734,124.8737590252708
Kut Bak,TH4703,2016,162.10719284603422,135.98063763608087,129.8861197511664,124.15555987558322,110.04222395023329,103.81076982892692,77.20695956454122,58.69685069984449,112.73578926905137,162.10719284603422,135.98063763608087,129.8861197511664,124.15555987558322,110.04222395023329,122.50147744945568,109.96979004665631,109.50423794712286,125.51840493779162
Phanna Nikhom,TH4704,2016,159.56975869633342,137.72071450955812,129.75880601692256,123.99893450329047,109.52905045440299,101.2042149796302,75.71255092447508,57.351284863679076,111.85566436853651,159.56975869633342,137.72071450955812,129.75880601692256,123.99893450329047,109.52905045440299,121.08868693199621,107.44091193983074,106.7277342525854,124.47932466311497
